	MG1655-1	IBUA8-3_1	IBUA8-3_ilvH-revert-1	pykF-1	ilvH-1	pykF_ilvH-1	glyQ-1	pykF_glyQ-1	MG1655-2	IBUA8-3_2	IBUA8-3_ilvH-revert-2	pykF-2	ilvH-2	pykF_ilvH-2	glyQ-2	pykF_glyQ-2	MG1655-3	IBUA8-3_3	IBUA8-3_ilvH-revert-3	pykF-3	ilvH-3	pykF_ilvH-3	glyQ-3	pykF_glyQ-3	ilvH_glyQ-1	pykF_ilvH_glyQ-1	ilvH_glyQ-2	pykF_ilvH_glyQ-2	ilvH_glyQ-3	pykF_ilvH_glyQ-3
35.84188	2.771	32.945	25.075	24.939	2.823	25.8	2.977	35.005	2.634	34.285	25.753	26.11	3.104	23.998	3.36	32.11	2.777	33.142	26.955	26.296	2.898	23.756	3.331	34.778	2.885	35.165	3.374	35.6	2.885	34.216
36.00852	2.908	32.317	23.759	24.533	2.731	25.394	3.081	33.403	2.445	35.639	27.329	25.965	3.013	24.015	3.431	31.155	2.883	32.968	26.681	27.096	2.905	23.188	3.501	33.696	3.055	34.798	3.413	37.637	3.022	33.88
36.17523	2.901	31.809	23.744	24.42	2.661	25.897	3.01	32.862	2.634	36.493	26.759	26.727	2.942	24.29	3.425	32.856	2.94	33.759	25.786	26.816	2.865	24.47	3.591	33.967	3.339	35.717	3.309	34.821	2.82	34.93
36.34182	2.901	33.335	24.491	25.037	2.823	26.287	3.107	33.544	2.634	34.188	26.63	24.454	3.104	23.576	3.587	32.856	3.037	33.662	27.474	26.718	3.158	23.918	3.363	34.681	3.242	36.983	3.276	36.184	2.723	35.385
36.50854	3.113	32.186	24.856	25.501	2.773	25.776	3.22	33.63	2.649	37.362	26.186	25.797	3.249	23.909	3.376	32.16	3.155	34.138	29.18	26.931	3.274	23.701	3.577	34.866	3.164	35.483	3.326	35.689	3.0	33.879
36.67525	3.019	31.579	24.441	25.867	2.84	25.46	2.93	34.031	2.653	34.024	26.585	25.578	3.22	24.405	3.672	31.65	2.963	33.466	28.149	26.778	3.278	24.686	3.58	33.349	3.265	34.942	3.134	36.318	2.938	33.467
36.84193	3.157	33.811	24.742	24.996	2.917	25.564	3.202	34.28	2.793	35.865	25.842	25.322	3.101	23.99	3.551	33.041	3.228	34.625	28.634	26.579	3.154	24.267	3.782	33.501	3.043	35.737	3.273	35.491	2.98	34.4
37.00848	2.901	31.192	24.978	25.913	2.855	25.215	3.205	35.005	2.731	35.195	26.857	26.825	3.234	24.355	3.685	32.921	3.362	33.954	28.189	27.368	3.353	24.47	3.591	34.681	3.144	34.483	3.276	36.477	2.723	35.092
37.17525	3.301	27.908	24.677	25.776	2.864	26.442	3.214	33.933	2.806	34.935	25.389	25.844	3.113	24.413	3.857	32.237	3.179	31.614	27.405	28.211	3.169	25.049	3.667	33.512	3.384	35.459	3.319	35.861	2.993	34.735
37.34187	3.399	25.958	25.034	24.152	2.962	26.345	3.376	33.218	2.741	31.945	25.486	26.364	3.308	23.6	3.954	32.887	3.147	28.04	27.308	26.943	3.104	23.554	3.667	35.494	3.254	34.972	3.481	36.121	2.895	35.775
37.50856	3.366	24.594	26.009	26.134	3.059	25.435	3.279	33.316	2.838	29.053	26.071	26.169	3.146	24.835	3.759	32.627	3.244	24.205	26.983	27.333	3.104	23.977	3.667	36.209	3.286	36.532	3.319	34.366	3.188	34.638
37.67531	3.453	23.431	24.393	25.329	2.855	26.125	3.4	35.817	2.991	26.33	26.467	26.11	3.299	23.803	3.587	33.116	3.265	25.089	27.442	26.296	3.093	25.022	3.785	34.973	3.047	35.749	3.211	36.769	3.113	33.761
37.84203	3.41	22.344	25.156	24.956	2.775	25.264	3.418	33.966	3.01	24.171	24.894	26.586	3.155	24.958	3.965	32.788	3.549	23.938	26.36	27.039	3.116	24.328	3.775	35.43	3.298	35.624	3.492	35.505	3.101	34.8
38.00861	3.493	21.369	25.611	25.67	3.056	27.149	3.308	33.37	2.9	24.333	28.044	26.55	3.208	24.729	4.081	33.884	3.435	23.807	28.078	27.128	3.003	25.56	3.695	34.833	3.282	33.986	3.478	36.792	3.217	33.652
38.17537	3.54	20.978	24.961	25.899	3.003	26.24	3.45	34.161	3.238	23.033	26.195	26.326	3.415	24.405	3.867	32.398	3.549	22.247	28.116	26.973	3.376	24.165	3.906	32.959	3.103	36.015	3.232	35.277	3.003	33.044
38.342	3.551	20.774	24.628	25.404	3.077	26.298	3.557	33.575	2.955	23.578	25.408	26.124	3.327	23.975	4.007	31.973	3.593	22.011	27.136	27.199	3.29	25.2	4.015	36.375	3.179	35.074	3.534	36.84	2.948	35.289
38.50867	3.59	21.531	24.766	25.151	3.056	25.394	3.438	35.254	3.16	23.358	26.68	26.778	3.532	24.177	4.081	32.357	3.63	21.273	27.006	27.68	3.165	24.78	3.858	35.84	3.185	34.506	3.51	35.655	3.184	34.952
38.67549	3.637	21.043	25.352	25.281	3.101	26.5	3.645	33.413	3.075	23.196	26.39	26.0	3.22	24.926	4.095	32.17	3.581	21.272	27.206	27.819	3.571	25.596	3.971	34.975	3.363	36.21	3.297	36.415	3.101	35.418
38.84205	3.612	21.059	24.425	25.916	3.074	26.354	3.554	35.419	3.049	23.375	26.993	26.831	3.324	24.26	3.971	32.808	3.492	22.394	27.973	26.994	3.383	25.094	4.108	34.672	3.468	35.322	3.498	35.625	3.237	33.716
39.0088	3.626	21.669	24.125	25.581	3.092	27.027	3.636	32.861	3.325	22.522	26.071	26.364	3.438	25.03	4.052	32.985	3.731	20.761	28.575	27.723	3.494	26.349	4.284	35.624	3.351	36.337	3.709	36.284	3.285	35.223
39.17548	3.669	21.166	24.726	26.537	3.139	26.002	3.585	33.219	2.981	23.285	25.987	27.09	3.192	24.557	4.259	33.118	3.415	21.72	27.252	27.273	3.244	24.314	4.163	34.129	3.133	35.195	3.493	35.015	2.908	34.183
39.34205	3.634	20.677	24.921	26.606	3.098	26.134	3.61	32.622	3.235	23.838	26.966	27.064	3.347	24.722	4.156	31.965	3.772	21.296	29.927	28.621	3.177	25.164	4.162	35.322	3.261	34.8	3.326	34.583	3.422	34.757
39.50879	3.699	20.937	25.051	24.948	3.098	25.939	3.545	33.24	3.235	23.74	25.471	27.357	3.574	24.722	4.189	33.005	3.74	21.491	27.489	27.711	3.307	24.904	4.259	34.216	3.391	35.028	3.618	34.193	3.032	34.595
39.67556	3.821	20.304	25.619	26.459	3.157	26.67	3.701	33.706	3.13	23.042	26.331	27.956	3.536	25.388	4.084	33.765	3.764	20.988	26.528	27.041	3.104	24.887	4.382	35.137	3.351	34.419	3.611	37.356	3.09	33.436
39.84216	3.926	20.255	24.531	25.273	3.098	25.972	3.902	33.825	3.365	22.635	25.568	27.064	3.639	25.307	4.676	32.745	3.87	21.752	27.099	27.126	3.307	26.107	4.194	34.314	3.456	35.515	3.423	35.298	3.13	34.172
40.0088	3.709	21.215	24.158	26.554	3.145	25.824	3.721	32.754	3.442	23.529	25.225	26.361	3.393	24.282	4.233	33.69	3.845	21.444	27.855	28.137	3.251	25.013	4.463	35.546	3.368	34.958	3.305	35.134	3.402	33.393
40.17556	4.167	20.703	24.198	25.361	3.278	26.449	3.822	33.479	3.51	23.115	26.662	26.76	3.623	24.907	4.172	33.636	3.946	20.932	27.345	27.595	3.353	26.841	4.24	35.688	3.339	34.937	3.569	36.639	3.21	34.54
40.34222	4.114	20.337	24.905	26.361	3.092	26.865	3.929	33.511	3.26	23.367	25.876	26.169	3.406	25.323	4.344	33.862	3.764	21.281	27.795	27.301	3.462	26.089	4.447	34.747	3.449	34.582	3.611	34.464	3.513	34.28
40.50906	4.114	19.947	24.385	25.841	3.254	26.735	4.026	33.511	3.423	23.107	25.681	27.436	3.568	24.088	4.344	33.082	3.959	21.053	28.023	27.398	3.364	24.464	4.544	35.007	3.741	34.777	3.579	34.854	2.993	34.768
40.67561	4.022	19.926	24.074	25.861	3.024	26.625	3.96	32.902	3.294	21.722	26.321	26.681	3.437	26.191	4.705	33.251	4.098	21.164	27.923	28.086	3.305	25.887	4.519	35.412	3.325	36.26	3.646	35.355	3.059	35.919
40.84218	4.397	21.197	24.465	25.794	3.175	26.591	4.11	32.729	3.378	22.602	26.612	27.524	3.587	26.09	4.3	32.428	4.277	21.621	26.941	27.752	3.42	26.437	4.665	35.79	3.472	36.994	3.632	33.846	3.111	33.369
41.00898	4.303	20.293	24.733	25.119	3.08	26.306	4.016	34.367	3.577	22.382	25.742	26.556	3.59	26.392	4.792	33.936	4.086	21.401	27.959	26.884	3.391	25.437	4.376	36.68	3.216	34.109	3.636	36.135	3.537	34.226
41.17564	4.159	20.43	25.589	26.073	3.225	26.349	3.869	34.064	3.366	22.03	26.176	28.002	3.574	24.937	4.712	36.009	4.172	21.929	28.007	28.205	3.411	25.645	4.722	34.261	3.398	35.502	3.718	35.703	3.131	33.726
41.34231	4.653	19.79	25.531	25.786	3.302	27.298	4.042	33.337	3.635	22.171	26.31	27.742	3.779	25.528	4.719	33.394	4.338	21.58	26.834	28.035	3.286	25.321	4.857	37.177	3.566	35.127	3.694	34.421	3.4	34.432
41.50903	4.429	20.155	24.66	26.999	3.272	26.2	4.143	32.859	3.638	22.504	27.197	27.654	3.555	26.058	4.528	34.153	4.277	20.514	29.707	27.101	3.485	26.014	4.6	34.586	3.472	34.651	3.534	36.84	3.241	35.777
41.67572	4.401	20.098	24.864	26.747	3.405	27.087	4.016	33.228	3.739	22.675	26.848	26.719	3.558	25.774	4.889	32.894	4.476	20.522	29.261	27.404	3.619	26.706	4.767	34.499	3.476	35.639	3.636	35.94	3.44	35.202
41.84239	4.299	20.806	23.977	25.892	3.402	26.981	4.045	33.868	3.736	22.211	26.644	26.743	3.522	25.667	4.593	34.153	4.407	21.1	26.681	27.654	3.42	25.33	4.698	34.813	3.212	34.683	3.6	36.026	3.404	33.727
42.00904	4.864	20.732	24.391	26.667	3.379	27.137	4.348	34.389	3.779	22.788	25.857	26.835	3.597	25.921	4.799	34.803	4.485	20.928	27.588	27.685	3.529	25.813	4.808	33.707	3.387	35.858	3.708	35.051	3.349	35.159
42.17584	4.19	20.23	25.937	25.054	3.393	26.565	4.458	33.12	3.856	22.643	26.878	27.204	3.513	26.129	4.712	34.284	4.687	20.881	28.246	26.648	3.603	26.474	5.011	33.967	3.851	34.421	3.622	34.822	3.198	33.435
42.3425	4.746	19.713	24.383	25.65	3.486	26.74	4.455	33.999	3.757	22.421	26.697	27.578	3.9	25.524	4.907	35.096	4.693	20.951	28.235	28.14	3.736	26.753	4.885	35.467	3.431	35.404	3.653	36.551	3.457	34.084
42.50908	4.934	20.089	23.585	26.219	3.382	26.755	4.644	33.977	3.978	21.819	26.028	26.388	3.437	26.126	4.998	34.293	4.717	20.154	27.89	28.282	3.435	27.027	4.942	35.542	3.586	35.772	3.809	34.997	3.45	35.431
42.6757	4.88	20.34	24.423	25.658	3.489	26.781	4.589	34.238	4.151	21.843	25.696	27.196	3.544	25.337	4.911	35.042	4.6	19.981	27.528	27.368	3.838	26.404	4.954	35.674	3.631	35.742	3.852	36.725	3.428	33.932
42.8424	5.182	20.649	23.885	25.773	3.234	27.059	4.367	33.444	3.995	22.967	25.713	27.28	3.681	25.615	5.016	33.139	4.804	21.301	29.21	27.16	3.651	25.998	5.028	35.077	3.704	34.95	3.565	35.737	3.239	34.801
43.00922	4.746	20.234	25.426	26.269	3.29	26.153	4.683	32.597	4.083	22.519	25.85	26.145	3.671	25.817	5.038	34.933	4.922	20.951	27.616	27.618	3.606	26.362	4.918	35.434	3.627	35.241	3.816	36.453	3.359	34.671
43.17586	5.149	19.769	25.255	25.284	3.332	26.667	4.693	33.02	3.963	21.565	26.887	26.595	3.551	25.615	5.114	33.531	4.935	21.007	26.829	26.768	3.52	25.868	4.799	33.609	3.541	35.08	3.957	36.748	3.37	32.42
43.34258	4.922	19.545	24.082	25.738	3.503	26.795	4.276	30.461	4.163	21.698	25.611	26.817	3.753	25.871	5.182	34.326	4.9	20.652	28.871	28.186	3.782	25.73	5.093	33.978	3.476	35.769	3.798	33.987	3.44	31.752
43.50917	5.255	19.983	24.554	26.667	3.412	26.388	4.641	30.742	4.039	21.518	26.54	26.932	3.857	26.019	4.929	34.966	5.169	20.928	28.662	27.783	3.692	26.367	5.231	34.293	3.615	35.271	3.903	35.832	3.316	30.991
43.67593	5.541	20.323	24.407	25.871	3.332	27.091	4.857	28.846	4.191	22.184	26.496	27.606	3.485	26.17	5.016	33.726	4.837	20.91	28.819	27.975	3.716	27.107	5.256	35.109	3.443	35.863	3.826	36.292	3.467	30.105
43.84263	5.422	20.121	24.074	25.665	3.577	26.56	4.481	30.492	4.336	21.722	25.67	27.072	3.698	25.116	5.291	33.837	5.206	20.773	28.411	27.695	3.696	26.246	5.496	36.324	3.423	35.902	3.841	33.987	3.32	30.382
44.00922	5.365	19.941	25.523	26.464	3.584	27.033	4.912	28.491	4.245	22.128	25.752	26.959	3.704	26.013	5.201	32.261	5.573	20.234	27.584	28.628	3.802	26.199	5.211	34.945	3.692	36.121	3.914	33.324	3.359	31.444
44.17588	5.561	19.811	24.611	26.79	3.486	26.87	4.749	29.501	4.148	22.128	25.296	26.796	3.769	25.817	5.201	33.467	5.182	20.495	27.909	28.205	3.834	26.362	5.406	34.782	3.529	36.317	3.914	31.5	3.359	29.717
44.34261	5.761	19.492	23.674	26.147	3.587	26.65	4.785	29.968	4.347	21.614	26.902	26.805	4.066	26.413	5.563	34.683	5.513	20.34	28.017	26.879	3.74	26.599	5.639	33.164	3.5	36.198	3.819	31.249	3.363	28.847
44.50925	5.475	19.964	24.831	26.816	3.495	26.765	4.693	28.553	4.191	21.989	26.496	26.595	3.616	26.333	5.244	34.705	5.717	20.518	28.753	27.975	3.814	26.585	5.256	33.087	3.736	34.461	3.663	31.433	3.337	29.355
44.67601	5.708	20.168	24.969	25.586	3.433	26.676	4.795	27.518	4.39	21.474	26.798	27.387	3.88	26.57	5.346	33.704	5.331	19.906	28.535	28.475	3.752	25.779	5.162	34.175	3.838	34.799	3.862	30.953	3.569	29.43
44.84269	5.708	19.678	24.545	26.695	3.531	26.676	4.664	28.954	4.586	21.866	25.33	26.408	3.619	24.874	5.346	33.737	5.429	21.211	27.719	28.344	4.013	26.79	5.717	32.315	3.838	36.723	4.058	30.888	3.438	28.321
45.00935	5.786	19.897	25.483	26.231	3.507	28.04	5.099	28.33	4.564	22.999	26.139	26.761	3.727	25.683	5.585	33.181	5.801	21.137	28.009	28.996	3.732	26.459	5.827	31.923	3.818	34.801	3.84	31.278	3.286	28.708
45.17603	5.59	19.766	24.145	25.285	3.703	26.702	4.511	27.546	4.923	22.509	25.617	28.752	3.727	26.662	5.422	33.736	5.899	20.908	27.976	26.743	3.927	26.035	5.338	32.641	3.818	35.192	4.036	31.082	3.481	28.512
45.34273	5.892	19.063	24.096	26.118	3.644	27.666	4.714	28.48	4.572	22.231	24.818	28.543	3.7	26.713	5.756	33.985	5.745	20.826	28.485	28.135	3.87	26.968	5.771	31.976	3.728	33.517	3.782	30.057	3.194	27.682
45.5094	5.746	19.584	25.533	26.577	3.461	27.668	5.119	27.407	4.652	22.721	26.29	27.502	4.007	26.552	5.575	34.028	5.633	19.484	27.609	28.34	3.788	26.809	5.788	31.495	3.94	32.713	3.763	29.411	3.176	27.523
45.67605	5.733	19.397	25.41	26.649	3.713	27.119	4.717	27.999	4.608	22.207	24.728	28.291	3.802	25.611	5.858	33.669	6.207	20.147	29.377	27.819	3.94	27.598	5.742	31.921	3.961	32.483	3.884	29.838	3.655	29.128
45.84275	5.99	19.716	24.553	26.575	3.709	27.731	5.138	27.565	4.735	21.774	25.765	27.53	3.929	27.333	5.887	33.79	6.3	20.63	28.485	28.102	3.772	26.739	5.966	31.65	3.826	32.342	4.174	29.306	3.652	29.217
46.00952	6.027	19.561	25.574	27.074	3.843	26.597	5.109	28.718	5.098	21.913	26.035	27.638	3.704	25.415	5.956	33.571	6.501	20.474	29.377	28.962	3.94	27.141	5.775	31.954	3.863	33.267	4.243	30.165	3.557	26.221
46.17612	6.203	18.995	24.52	26.577	3.657	27.374	4.825	27.505	5.044	21.348	25.8	27.371	3.942	25.212	5.869	33.734	6.417	20.464	27.217	28.373	3.854	27.071	5.755	32.77	4.039	33.072	4.156	30.195	3.666	27.817
46.34278	6.101	19.903	26.211	26.078	3.555	27.039	5.214	27.561	4.811	22.255	25.987	28.702	3.939	26.707	5.996	32.906	6.739	20.653	29.136	28.689	3.98	26.506	5.947	30.276	3.936	34.76	3.956	29.335	3.597	28.69
46.50958	6.275	19.995	25.255	26.753	3.54	27.289	5.099	26.991	4.727	22.379	26.727	27.447	3.922	25.65	6.042	34.291	6.519	20.908	28.466	27.918	3.634	26.133	6.056	31.204	3.916	32.45	3.84	30.298	3.481	27.5
46.67618	6.203	19.747	24.422	26.904	3.82	26.949	5.512	26.066	4.946	21.936	26.192	27.567	4.007	26.127	6.49	34.355	6.646	20.432	28.524	28.275	3.886	26.188	6.278	31.561	4.137	31.993	4.188	29.737	3.502	27.359
46.84289	6.726	19.093	24.226	26.381	3.526	27.276	5.446	27.178	4.946	21.838	26.715	27.371	3.844	25.964	5.869	33.145	6.744	21.282	28.067	28.569	3.788	26.515	6.18	33.326	4.071	32.091	4.09	28.168	3.731	27.98
47.00956	7.193	19.652	25.215	26.262	3.783	26.929	5.478	26.443	5.143	22.039	27.778	27.683	3.939	25.847	6.1	32.387	6.985	20.141	29.136	28.139	3.824	27.09	6.219	30.966	3.683	33.795	3.828	29.532	3.534	27.77
47.17618	6.459	19.76	25.027	26.826	3.544	27.623	5.435	28.15	5.427	21.885	26.146	26.968	3.929	26.181	6.318	31.145	6.97	20.805	27.208	28.043	4.107	27.16	6.272	30.51	3.67	31.797	4.112	28.913	3.687	27.284
47.34296	6.951	19.805	23.76	27.777	3.621	27.954	5.443	27.234	5.498	21.896	25.301	27.983	4.004	25.628	6.16	30.39	7.295	20.849	26.456	27.186	4.176	26.963	6.241	31.452	3.675	32.571	4.25	29.433	3.564	26.925
47.50958	6.67	20.22	25.223	26.889	3.63	27.359	5.421	25.659	5.248	22.083	26.471	28.632	3.851	25.883	6.106	30.582	7.31	20.185	27.628	28.394	4.189	27.286	6.385	30.927	3.981	32.342	3.999	28.743	3.575	26.756
47.6763	6.964	19.599	24.536	27.412	3.565	28.176	5.682	25.757	5.411	22.573	25.686	29.253	3.851	24.935	6.204	29.503	7.441	20.382	27.89	29.865	3.763	27.286	6.614	32.203	3.949	32.015	3.803	27.501	3.738	27.083
47.84296	6.661	20.139	24.618	26.185	3.428	29.237	5.446	25.968	5.403	22.917	26.911	27.567	3.942	27.141	6.098	29.582	7.758	20.661	28.067	28.798	4.082	26.679	6.343	30.711	4.039	32.516	4.09	27.678	3.731	26.836
48.00968	6.924	19.889	23.811	26.81	3.7	28.618	5.585	26.166	5.507	22.371	24.923	28.776	4.213	26.816	5.94	29.189	7.591	20.9	29.044	28.104	3.858	27.429	6.476	30.639	4.01	32.505	4.131	27.678	3.706	26.675
48.17623	7.226	20.743	24.601	26.104	3.728	28.176	5.519	25.005	5.542	22.573	25.784	28.141	4.112	27.29	6.498	28.587	7.637	20.97	27.366	28.59	4.058	26.534	6.385	30.371	3.851	31.655	4.065	28.253	3.738	27.149
48.34299	7.334	20.573	24.496	27.139	3.745	28.883	5.664	26.007	5.686	21.586	26.231	27.572	4.096	26.591	6.087	28.312	7.71	20.931	27.94	29.452	3.776	26.879	6.591	31.137	3.765	30.719	4.243	27.225	3.655	25.895
48.50967	7.165	20.424	25.754	27.552	3.764	28.513	5.98	26.977	5.938	22.287	27.821	28.249	4.05	25.794	6.633	28.04	7.969	20.259	27.899	28.404	3.898	27.623	6.258	29.891	3.56	31.241	4.395	28.099	3.775	25.849
48.67641	7.422	20.122	25.648	27.085	3.63	28.111	5.682	25.659	5.934	22.05	25.784	27.912	4.145	26.734	6.891	29.274	8.16	20.611	28.38	28.459	3.96	27.809	6.614	29.292	3.785	33.193	4.065	28.057	3.673	26.854
48.84306	7.895	20.036	24.486	26.091	3.661	28.79	5.98	25.847	5.942	22.325	27.183	28.235	3.949	27.185	6.833	27.959	8.573	20.032	27.166	27.515	4.0	27.02	6.659	30.079	3.99	31.83	4.101	29.069	3.61	27.24
49.00973	7.45	20.496	25.6	26.581	3.878	28.59	6.261	25.942	6.581	21.508	25.869	28.263	3.837	26.69	6.424	27.104	8.192	20.33	28.504	29.472	3.984	26.459	6.739	28.958	3.973	30.214	4.119	27.655	3.694	26.09
49.17645	7.614	19.252	24.29	26.647	3.682	28.034	6.195	27.219	6.122	22.588	26.983	26.986	4.329	26.952	6.228	28.479	8.486	20.821	27.685	28.162	3.984	27.998	6.608	29.581	4.006	30.509	4.119	26.836	3.76	26.549
49.34316	7.88	20.275	25.379	26.655	3.75	28.403	6.002	25.067	6.028	22.138	27.582	29.19	3.939	27.223	6.952	27.375	8.688	20.01	28.317	28.041	4.086	27.909	7.006	30.049	4.109	31.305	4.09	27.566	3.501	26.001
49.50978	7.731	19.413	24.322	25.895	3.793	29.512	6.177	25.716	6.204	21.506	26.363	27.94	4.178	26.627	6.342	28.418	8.376	20.065	28.445	29.515	4.033	27.381	7.347	29.784	3.924	29.863	4.232	27.463	3.971	25.798
49.67649	7.693	18.881	23.691	26.771	3.986	28.814	5.977	25.707	6.364	21.203	25.502	27.832	4.273	26.323	6.502	26.672	8.764	20.156	27.812	27.898	3.996	26.519	7.244	29.184	4.117	29.852	4.031	27.65	3.902	25.887
49.84313	7.848	19.41	24.748	26.52	3.772	29.089	5.798	25.227	6.22	21.274	26.005	27.518	4.159	25.909	6.456	27.635	8.627	20.49	27.302	28.508	4.147	27.354	7.234	29.004	4.203	31.086	3.951	27.599	3.559	26.785
50.00991	7.801	19.531	24.83	27.218	3.675	28.965	5.893	25.564	6.376	21.558	25.819	28.375	4.453	26.835	6.645	28.494	9.622	19.921	27.372	27.912	4.107	28.339	7.09	29.397	3.965	30.782	3.883	27.309	3.785	26.4
50.17649	8.199	19.297	24.239	26.928	3.602	29.465	6.381	25.963	6.605	22.571	26.807	28.122	4.251	27.695	6.743	26.961	9.272	20.048	28.464	29.011	4.041	27.761	6.93	28.427	4.096	30.605	4.305	27.187	3.781	25.651
50.34317	8.199	19.592	24.305	27.322	3.897	29.333	5.922	24.848	6.278	22.046	26.676	27.401	4.152	26.875	7.071	26.108	9.207	20.441	27.743	30.225	4.041	28.351	7.225	29.181	4.228	29.883	4.206	27.482	4.076	26.209
50.50995	8.372	20.111	23.839	26.95	3.914	28.501	6.199	24.903	6.257	21.908	26.075	28.174	3.939	26.011	6.952	27.604	9.147	20.108	27.629	28.172	4.283	27.058	7.235	29.165	4.01	31.207	4.221	26.125	3.698	25.968
50.67654	8.021	19.602	23.691	27.525	3.658	29.502	6.173	25.641	6.298	21.891	25.797	28.947	4.241	25.832	7.026	26.836	9.453	20.943	27.255	28.816	3.93	28.912	7.113	28.201	3.92	29.95	4.13	26.798	3.803	25.428
50.84331	8.003	20.248	24.502	27.322	3.897	29.76	6.316	24.619	6.605	21.554	25.43	28.549	4.152	26.383	6.678	27.059	9.666	20.441	27.152	29.208	3.943	28.417	7.127	28.591	3.932	30.113	4.305	26.137	3.781	26.996
51.01	7.843	19.403	23.624	27.757	3.933	28.621	6.221	25.546	6.905	22.021	25.734	28.46	4.254	26.261	6.78	27.232	9.672	20.055	28.408	27.907	4.045	28.46	6.836	28.732	4.101	30.288	4.111	27.524	3.555	24.939
51.17673	8.161	20.153	25.157	26.4	3.872	29.98	6.253	24.647	6.932	22.507	25.95	26.968	4.06	27.228	7.038	26.89	9.654	20.478	26.586	27.617	3.91	27.455	7.123	28.317	4.063	30.684	4.177	27.211	3.949	24.534
51.34328	8.593	20.051	24.436	28.044	4.028	29.432	6.217	25.143	6.901	22.472	25.069	28.221	3.988	26.481	6.776	26.797	9.272	20.08	27.087	28.421	4.238	28.548	7.816	28.591	4.096	29.227	4.305	27.187	3.912	25.848
51.51001	8.742	20.094	25.428	27.066	3.888	30.453	6.108	24.92	6.659	21.695	26.78	26.62	4.175	27.569	6.829	26.705	10.043	20.32	27.419	29.307	4.029	27.372	7.605	29.152	4.215	28.279	4.392	27.978	3.607	25.986
51.6766	8.401	20.125	24.444	26.084	3.9	28.916	6.287	24.759	7.495	21.463	25.307	28.755	4.09	26.654	6.682	26.412	10.295	19.694	26.998	28.694	3.848	27.771	7.23	28.338	4.199	29.631	4.243	27.622	3.916	25.135
51.84346	9.004	19.569	23.363	27.164	3.92	29.83	6.436	23.904	7.281	22.711	25.568	28.094	4.273	26.454	7.124	27.0	9.879	20.844	26.96	28.258	3.996	27.503	7.441	27.742	4.018	28.41	4.294	26.897	4.098	25.494
52.01001	8.604	19.705	23.726	26.701	3.993	30.377	6.569	25.374	7.345	22.385	25.204	29.034	4.116	27.364	7.124	24.998	10.684	19.899	27.147	27.488	3.964	27.753	7.109	28.321	4.149	29.311	4.166	26.627	4.134	26.602
52.17672	8.549	19.458	24.037	26.915	3.967	30.822	6.282	24.41	7.157	22.663	24.992	27.613	3.959	26.368	6.838	25.833	10.14	20.274	26.118	28.425	4.332	28.034	7.02	27.882	3.863	29.593	4.468	25.892	3.585	25.573
52.34338	8.48	19.307	23.986	27.0	4.183	30.551	6.436	23.839	7.675	22.612	26.19	27.898	3.978	27.339	7.124	26.836	10.338	20.943	26.96	28.685	3.996	28.125	7.441	26.956	4.084	29.787	4.392	27.159	3.967	25.625
52.51012	8.616	20.036	24.879	26.878	3.76	30.266	6.177	24.306	7.351	22.03	25.412	28.628	4.146	27.185	6.866	26.517	10.868	21.344	27.133	28.597	4.098	28.496	7.74	27.26	4.121	29.174	4.428	26.512	3.708	26.355
52.67674	8.256	19.762	23.853	26.874	3.88	30.66	6.532	24.761	8.104	22.184	25.67	27.381	4.497	27.938	7.059	26.382	10.318	20.841	27.725	28.276	4.258	27.973	7.642	28.048	3.92	29.476	4.323	28.547	3.832	26.254
52.84344	8.828	20.256	25.002	25.822	4.097	29.572	6.221	24.004	7.463	21.956	26.619	27.738	4.287	27.376	6.944	25.953	10.787	20.711	27.358	28.038	4.209	28.23	7.427	26.271	4.133	28.647	4.111	26.704	3.785	25.923
53.01	8.495	19.822	24.108	26.371	3.996	29.891	6.086	23.569	7.917	22.243	26.086	28.155	4.644	27.465	7.137	25.944	10.814	21.294	27.152	28.847	4.303	28.745	7.52	27.771	3.998	29.588	4.337	26.563	3.814	24.11
53.17679	8.855	19.92	24.305	27.322	4.094	30.481	6.447	23.897	7.458	23.325	25.725	27.598	4.185	27.662	7.038	25.124	10.388	20.769	25.578	28.191	4.008	28.22	7.652	27.804	4.195	29.096	4.403	27.219	3.912	25.455
53.34351	8.84	19.831	24.215	27.525	4.117	30.06	6.698	23.642	8.068	22.219	25.24	28.717	4.241	27.667	6.96	26.508	10.862	21.172	26.075	28.685	4.193	28.322	7.736	27.775	4.182	27.591	4.195	27.192	3.77	25.494
53.5102	8.616	20.396	23.469	26.976	4.022	30.692	6.505	25.224	7.777	22.555	26.298	27.219	4.244	28.463	7.456	25.173	10.901	20.786	27.068	28.662	4.131	28.889	7.544	27.391	4.285	28.289	4.133	26.25	3.708	24.585
53.67678	8.685	20.251	25.452	26.204	4.166	29.914	6.417	22.814	8.569	22.212	25.033	27.655	4.453	27.686	7.038	25.875	10.865	21.002	27.47	27.355	4.27	29.55	7.679	27.531	4.194	29.505	4.21	26.196	4.047	25.254
53.84349	8.583	20.134	22.551	25.993	4.219	30.266	6.374	24.634	8.564	22.161	25.773	28.202	4.178	27.775	7.26	25.468	10.966	20.983	27.625	28.105	4.0	29.315	7.15	27.293	4.383	29.764	4.232	25.332	3.807	23.962
