	MG1655-1	HMDA1-10_1	HMDA3-5_1	HMDA5-4_1	HMDA7-1_1	proV-1	ptsP-1	wbbK-1	MG1655-2	HMDA1-10_2	HMDA3-5_2	HMDA5-4_2	HMDA7-1_2	proV-2	ptsP-2	wbbK-2	MG1655-3	HMDA1-10_3	HMDA3-5_3	HMDA5-4_3	HMDA7-1_3	proV-3	ptsP-3	wbbK-3	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_nagC_ptsP-1	proV_ptsP_wbbK-1	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_nagC_ptsP-2	proV_ptsP_wbbK-2	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_nagC_ptsP-3	proV_ptsP_wbbK-3
27.67351	0.62	32.716	32.178	27.5	32.97	2.498	3.909	1.916	1.306	32.513	33.917	26.491	35.418	3.225	3.549	2.148	1.802	33.538	32.7	26.875	36.735	3.663	4.026	2.378	0.799	2.939	1.783	3.125	4.053	0.694	3.258	1.562	2.907	2.88	1.126	1.501	1.32	1.157	2.143
27.84015	0.664	31.585	31.963	28.595	32.785	2.678	3.979	1.928	1.294	32.272	33.956	26.746	35.988	3.406	3.73	2.106	1.789	33.248	33.437	25.988	36.777	3.705	4.125	2.422	0.87	3.04	1.629	3.084	3.959	0.82	3.245	1.63	2.949	3.061	1.139	1.487	1.332	1.225	2.268
28.0069	0.614	31.158	32.522	28.715	32.644	2.695	4.019	1.975	1.414	32.185	34.062	26.816	35.589	3.422	3.938	2.203	1.743	32.417	32.371	25.861	37.071	3.718	4.498	2.542	0.822	3.018	1.839	3.095	4.019	0.861	3.396	1.509	2.963	2.936	1.018	1.53	1.351	1.271	2.282
28.17357	0.678	31.874	32.373	28.927	32.69	2.758	4.361	1.926	1.422	32.455	33.859	27.779	35.526	3.512	3.806	2.238	1.834	33.944	32.724	26.24	37.008	3.725	4.255	2.383	0.747	3.249	1.734	3.102	4.278	0.841	3.571	1.543	3.193	3.222	1.108	1.481	1.218	1.221	2.401
28.34006	1.141	32.918	32.773	28.71	33.397	2.659	4.376	1.938	1.298	33.051	33.452	27.506	37.043	3.749	4.127	2.224	1.878	32.484	34.158	26.635	36.52	4.102	4.465	2.287	0.763	3.182	1.915	3.368	4.296	0.882	3.809	1.528	3.291	3.208	1.064	1.55	1.258	1.318	2.498
28.50688	0.716	31.156	33.154	29.591	33.529	2.758	4.589	2.121	1.402	32.514	34.448	27.24	37.262	3.766	3.978	2.186	1.869	32.371	33.483	26.845	37.771	4.036	4.651	2.586	0.727	3.287	1.793	3.554	4.485	0.956	3.716	1.627	3.392	3.169	1.136	1.567	1.469	1.25	2.488
28.67348	0.635	31.821	32.931	29.984	32.301	2.823	5.041	2.074	1.434	33.237	35.254	28.445	36.085	3.912	4.151	2.221	1.874	33.42	33.757	26.85	37.457	4.126	4.768	2.478	0.786	3.429	1.772	3.866	4.765	0.851	3.944	1.692	3.482	3.316	1.284	1.491	1.227	1.37	2.551
28.84022	0.777	32.011	33.209	30.794	32.829	2.832	4.851	1.972	1.271	32.427	35.083	27.476	36.86	3.892	4.408	2.311	1.934	32.573	34.421	27.217	37.144	4.159	4.856	2.566	0.762	3.487	1.724	3.759	4.655	0.997	4.172	1.618	3.767	3.378	1.182	1.555	1.347	1.351	2.529
29.00688	0.666	31.816	32.791	30.655	32.885	2.915	5.046	2.139	1.188	32.566	34.22	28.005	37.417	4.003	4.491	2.228	1.822	33.102	34.671	27.83	37.924	4.494	5.162	2.566	1.069	3.571	1.975	4.094	4.933	0.941	4.2	1.701	3.767	3.601	1.098	1.527	1.347	1.351	2.724
29.17367	0.754	32.271	31.909	30.023	32.95	2.89	5.022	2.087	1.275	31.907	33.478	28.013	36.982	4.174	4.412	2.287	1.826	33.086	33.874	27.894	36.988	4.525	5.083	2.514	0.766	3.742	1.923	3.875	5.189	0.834	4.009	1.677	3.799	3.354	1.046	1.53	1.239	1.271	2.644
29.34026	0.791	31.75	32.801	31.247	33.454	3.087	5.53	2.087	1.478	32.16	34.15	28.563	36.795	4.289	4.668	2.402	1.889	33.13	33.909	27.135	38.085	4.866	5.564	2.578	0.858	3.976	1.953	4.216	5.48	0.726	4.322	1.816	4.333	3.804	0.99	1.588	1.407	1.411	2.872
29.50684	0.731	32.018	32.373	32.465	33.361	3.362	5.778	2.111	1.306	31.648	33.499	29.029	37.398	4.369	4.832	2.482	1.857	32.255	34.568	26.82	37.907	4.946	5.672	2.741	0.854	3.971	1.838	4.575	5.476	0.945	4.374	1.785	4.134	3.577	1.126	1.557	1.376	1.24	2.728
29.67355	1.279	31.892	32.913	31.916	34.069	3.292	5.905	2.096	1.406	33.137	34.095	28.812	37.244	4.718	5.182	2.357	1.817	32.103	33.605	28.64	38.144	4.878	5.409	2.59	0.87	4.128	1.964	4.479	5.969	0.876	4.725	1.714	4.345	4.234	1.139	1.598	1.332	1.253	2.91
29.84032	0.828	32.663	32.485	32.047	33.976	3.484	5.873	2.177	1.402	32.793	33.695	29.361	37.429	4.575	5.29	2.577	1.869	33.32	33.232	28.603	38.441	5.069	6.019	2.697	0.811	4.235	2.128	4.978	5.908	1.04	4.916	1.878	4.564	4.09	1.164	1.651	1.385	1.389	2.962
30.007	0.775	31.709	32.513	33.58	34.28	3.269	5.849	2.186	1.295	32.54	33.275	29.421	37.367	4.609	5.378	2.416	1.846	33.002	33.339	28.578	38.293	5.101	5.883	2.757	0.759	4.432	1.94	4.814	6.131	0.851	5.031	1.859	4.709	4.152	1.117	1.631	1.31	1.147	3.024
30.17365	0.873	31.957	32.735	31.963	33.805	3.426	6.478	2.316	1.367	32.149	33.664	28.894	38.534	4.794	5.505	2.377	2.029	33.275	33.95	28.719	38.875	5.396	5.898	2.801	0.691	4.28	2.069	4.997	6.2	1.008	5.103	1.878	4.892	4.475	1.136	1.788	1.357	1.361	3.014
30.34035	0.924	32.331	32.82	33.108	33.67	3.55	6.5	2.214	1.302	32.877	33.78	29.248	37.432	5.06	5.664	2.616	1.909	32.823	33.597	28.713	38.92	5.332	6.171	2.877	0.907	4.584	2.222	5.297	6.229	0.827	5.263	1.832	5.106	4.688	1.229	1.856	1.422	1.427	3.169
30.50707	0.762	32.777	32.671	33.715	34.027	3.577	6.98	2.295	1.529	33.151	34.109	30.156	37.879	5.174	5.92	2.756	1.997	32.94	33.705	28.616	39.789	5.615	6.372	2.965	0.855	4.759	2.082	5.554	6.603	0.911	5.436	2.025	5.389	4.606	1.282	1.632	1.448	1.452	3.198
30.67366	0.888	30.971	32.326	33.368	34.516	3.794	6.743	2.208	1.489	32.3	34.626	29.566	37.468	5.444	5.964	2.636	1.901	32.466	33.856	29.142	39.01	5.603	6.609	3.008	0.731	4.966	2.271	5.708	6.834	1.127	5.646	2.049	5.405	4.736	1.139	1.822	1.584	1.476	3.161
30.84046	0.832	31.278	33.248	33.089	34.097	3.711	6.826	2.291	1.378	32.719	34.095	30.096	37.858	5.667	6.326	2.636	1.957	34.001	34.637	29.142	40.182	5.827	6.776	3.092	0.898	5.049	2.215	5.763	7.336	0.987	5.506	1.881	5.656	4.68	1.418	1.849	1.5	1.476	3.301
31.0071	0.984	32.174	33.192	33.927	33.959	3.888	7.705	2.357	1.473	32.189	34.32	30.458	39.119	5.539	6.087	2.87	1.969	33.002	33.942	29.225	39.21	5.839	7.152	3.02	0.966	5.147	2.365	6.028	7.268	0.998	5.937	2.002	5.752	4.692	1.316	1.776	1.481	1.43	3.48
31.17374	0.817	32.062	33.388	34.346	33.875	4.056	7.118	2.301	1.473	32.301	34.767	29.676	38.42	5.595	6.618	2.731	1.997	33.505	34.082	28.973	39.182	6.369	7.208	2.937	0.994	5.258	2.309	6.111	7.463	0.914	6.189	1.974	6.115	4.859	1.26	1.86	1.426	1.514	3.563
31.34039	0.999	31.501	33.694	34.345	33.734	4.101	7.692	2.403	1.657	32.384	34.793	30.487	39.254	5.863	6.494	2.887	2.292	33.415	34.358	28.779	39.428	6.524	7.223	3.12	0.87	5.301	2.466	6.601	7.867	0.959	6.176	1.909	6.271	5.015	1.167	1.766	1.556	1.476	3.496
31.50709	0.961	32.135	33.636	34.396	34.065	4.07	7.959	2.458	1.705	31.991	34.732	29.905	38.74	5.967	6.624	2.827	2.284	32.618	34.935	30.762	39.052	6.32	7.491	3.139	0.946	5.705	2.518	6.728	8.128	0.872	6.361	2.132	6.624	5.287	1.194	1.875	1.527	1.447	3.435
31.67375	0.719	32.378	33.488	34.639	34.531	4.467	8.135	2.381	1.462	32.4	34.891	31.121	38.482	6.337	7.022	2.834	2.18	32.528	34.733	29.582	40.133	6.69	7.89	3.259	0.842	5.687	2.414	6.849	8.249	1.018	6.843	2.11	6.911	5.406	1.312	1.993	1.478	1.482	3.61
31.84043	0.903	31.471	33.861	34.399	35.044	4.23	8.655	2.449	1.617	32.69	34.959	30.934	39.501	6.186	7.207	2.793	2.196	33.047	34.858	29.785	39.48	6.707	8.214	2.996	0.942	5.956	2.539	7.006	8.326	0.809	6.972	2.123	7.179	5.562	1.297	2.007	1.574	1.467	3.736
32.00706	1.502	32.366	33.778	34.401	35.018	4.408	8.361	2.403	1.489	32.607	35.128	30.933	40.175	6.644	7.527	2.776	2.041	33.331	34.972	30.007	40.015	7.027	7.977	3.287	0.87	5.97	2.522	7.131	8.509	0.904	7.125	2.216	7.331	5.769	1.083	1.989	1.584	1.504	3.887
32.17385	0.987	31.833	34.949	35.627	34.375	4.593	8.683	2.617	1.45	32.662	35.545	30.209	39.501	6.855	8.072	2.849	2.057	32.6	35.583	30.538	40.261	7.265	8.41	3.331	0.97	6.207	2.595	7.787	9.079	0.949	7.391	2.234	7.681	5.924	1.241	2.007	1.546	1.411	3.792
32.34041	0.995	31.491	34.633	35.563	34.673	4.656	9.278	2.651	1.485	32.597	35.369	30.729	39.132	7.17	8.136	2.94	2.288	32.678	35.185	30.556	39.752	7.218	8.67	3.339	1.034	6.468	2.63	7.768	9.201	0.956	7.539	2.325	7.969	5.821	1.331	2.069	1.553	1.501	3.8
32.50716	1.197	32.438	35.047	35.28	34.668	4.741	9.232	2.593	1.74	32.674	35.477	30.465	39.944	7.259	8.368	3.165	2.152	33.494	35.771	30.378	41.042	7.672	9.154	3.372	0.983	6.842	2.799	8.002	9.915	0.9	7.66	2.323	8.284	6.468	1.356	2.125	1.438	1.583	3.998
32.67378	0.967	32.3	35.443	34.698	35.483	5.131	9.641	2.567	1.541	33.714	36.625	31.176	39.327	7.087	8.471	3.191	2.065	33.795	35.688	30.138	39.808	7.72	9.2	3.339	0.894	6.496	2.77	8.048	10.039	0.956	7.958	2.325	8.499	6.602	1.247	2.069	1.553	1.585	3.967
32.84053	0.89	32.138	35.923	35.597	35.237	5.168	9.896	2.858	1.522	32.466	36.463	31.772	40.667	7.568	9.145	3.172	2.184	34.351	36.165	29.953	40.897	7.921	9.65	3.43	1.014	7.057	2.835	8.944	10.234	0.966	8.018	2.308	8.783	6.386	1.287	2.247	1.453	1.652	4.06
33.00714	1.141	33.113	35.7	36.098	35.07	4.917	10.147	2.607	1.605	32.466	36.797	31.047	40.193	7.652	9.09	3.033	2.045	32.985	36.527	30.343	40.534	7.949	9.65	3.653	0.846	7.057	2.947	9.083	10.68	1.05	8.464	2.559	9.285	6.916	1.204	2.219	1.481	1.624	3.976
33.17387	1.066	31.935	35.385	35.226	35.731	5.259	10.519	2.697	1.613	32.513	37.403	30.228	40.689	7.939	9.015	3.291	2.276	33.51	36.549	30.027	40.724	8.544	10.023	3.578	0.854	7.207	2.87	9.623	11.444	0.973	8.558	2.566	9.462	7.259	1.238	2.254	1.655	1.575	4.067
33.34061	1.098	32.866	36.455	35.794	35.63	5.123	10.775	2.728	1.561	33.359	37.944	30.739	40.617	8.418	9.187	3.379	2.196	33.521	36.727	30.203	40.568	8.66	10.39	3.721	0.97	7.323	2.958	9.293	10.976	1.032	8.897	2.486	9.717	6.984	1.241	2.313	1.714	1.55	4.071
33.50721	1.345	33.05	36.529	36.453	35.787	5.622	10.965	2.948	1.641	32.987	37.654	31.009	40.522	8.581	9.964	3.208	2.36	34.095	37.776	30.055	40.417	8.627	10.469	3.801	0.938	7.737	3.121	10.014	11.723	0.862	9.199	2.538	10.047	7.259	1.322	2.31	1.794	1.659	4.235
33.67389	1.15	32.242	36.696	35.923	35.704	5.622	11.495	2.725	1.613	33.071	37.85	29.865	40.606	8.776	10.047	3.291	2.22	34.848	37.609	30.278	40.333	8.739	11.11	3.801	0.966	8.043	3.289	10.042	11.528	1.14	9.339	2.65	10.466	7.566	1.294	2.31	1.571	1.714	4.374
33.84046	1.574	32.664	36.84	35.288	36.545	5.798	11.33	2.709	1.593	32.298	38.159	30.602	40.802	8.781	10.19	3.328	2.116	34.819	37.917	29.982	41.281	9.412	11.447	3.863	0.946	7.962	3.187	10.462	11.861	1.039	9.983	2.605	10.775	7.572	1.222	2.376	1.555	1.642	4.132
34.00713	1.586	32.366	37.77	35.21	35.632	6.027	11.767	2.877	1.741	32.802	38.31	30.738	40.622	8.905	10.765	3.474	2.208	33.415	38.517	30.231	41.438	9.4	11.131	4.069	0.87	8.343	3.304	11.234	12.919	1.127	9.972	2.802	11.407	7.918	1.306	2.547	1.723	1.755	4.418
34.17403	1.038	32.018	37.226	35.505	35.787	6.096	12.499	2.892	1.808	33.238	38.742	31.399	41.108	9.306	11.024	3.57	2.22	34.43	38.39	30.278	41.086	10.106	11.836	4.108	0.966	8.49	3.372	11.659	12.476	0.973	10.426	2.789	11.832	8.068	1.126	2.533	1.738	1.798	4.625
34.34057	1.308	32.584	37.986	35.987	35.795	6.255	12.851	2.858	1.689	32.884	38.721	30.74	40.5	9.548	10.874	3.451	2.268	35.104	38.814	30.288	41.733	9.594	11.992	4.183	1.014	9.121	3.337	11.565	12.883	1.105	10.527	2.81	12.128	8.477	1.232	2.526	1.704	1.736	4.617
34.50721	1.33	31.658	38.234	35.814	35.845	6.721	12.906	3.153	1.653	32.514	39.946	31.817	41.392	9.905	11.457	3.721	2.288	34.827	38.869	30.082	42.208	10.427	12.019	4.288	1.118	8.757	3.718	11.927	13.332	1.04	11.028	2.966	12.881	8.639	1.303	2.655	1.748	1.892	4.721
34.67398	1.225	32.946	38.432	35.401	36.408	6.673	13.241	2.969	1.828	32.912	39.39	31.493	41.197	9.798	12.184	3.535	2.212	33.599	39.845	30.176	41.901	10.932	12.912	4.35	0.874	9.037	3.449	12.54	13.942	0.938	11.029	3.033	13.272	8.951	1.399	2.721	1.704	1.736	4.617
34.84067	1.358	32.747	39.266	35.647	36.599	6.721	14.022	3.349	1.82	34.049	39.89	32.069	41.057	10.436	12.49	3.805	2.372	34.325	39.985	30.501	42.069	10.874	12.94	4.651	0.894	9.064	3.691	12.68	14.532	1.04	11.474	2.994	13.969	9.142	1.387	2.655	1.748	1.92	5.028
35.00723	1.392	32.611	39.52	35.931	35.851	6.869	13.827	3.081	1.828	33.163	40.421	31.995	41.504	10.523	12.826	3.73	2.351	35.021	40.431	29.842	42.096	11.295	13.358	4.266	0.874	9.79	3.616	12.819	14.667	0.938	12.033	2.978	14.387	9.732	1.287	2.721	1.704	1.875	4.924
35.17397	1.111	32.98	39.723	36.047	36.358	7.395	14.586	3.24	1.824	33.026	41.018	32.413	41.431	10.887	12.747	3.753	2.236	33.806	41.085	30.175	42.248	11.716	14.006	4.655	0.954	9.767	3.862	13.914	15.124	1.294	12.457	3.082	14.812	9.509	1.474	2.798	1.723	2.007	4.948
35.34066	1.478	33.051	40.096	36.288	36.653	6.984	14.656	3.145	1.804	33.717	40.94	33.081	42.049	11.079	13.044	3.93	2.244	35.035	40.613	31.068	42.529	11.765	13.464	4.686	0.85	10.007	3.677	14.038	15.269	1.001	12.613	3.208	15.577	9.758	1.296	2.867	1.88	1.856	5.011
35.50731	1.379	33.221	40.268	36.653	36.768	7.358	14.841	3.294	1.76	33.635	41.057	33.444	41.721	11.512	13.45	3.941	2.284	34.122	41.985	31.514	43.678	12.031	14.205	4.699	1.029	10.303	4.078	14.056	15.873	1.039	13.075	3.218	15.79	10.386	1.306	2.878	1.861	1.949	4.995
35.67396	1.42	32.779	40.607	36.461	36.631	7.621	15.416	3.388	1.689	33.692	41.453	33.472	42.061	11.611	14.303	4.12	2.379	34.268	41.602	31.208	43.796	12.326	14.362	4.768	1.097	10.542	4.201	15.579	16.758	1.189	13.343	3.368	16.701	9.955	1.455	2.889	1.955	1.903	5.175
35.84071	1.321	33.647	40.863	36.938	37.387	8.108	15.406	3.481	1.98	34.475	42.1	34.003	41.816	12.156	14.293	3.992	2.531	35.502	41.804	31.738	43.664	12.565	14.993	4.893	0.97	10.978	4.018	15.347	16.834	1.116	13.249	3.49	17.082	10.583	1.325	2.871	1.909	1.885	5.131
36.00729	1.824	33.479	41.253	36.715	37.22	8.248	16.103	3.593	1.812	34.391	42.017	33.78	41.705	12.407	15.269	4.243	2.308	35.055	41.971	31.598	43.915	12.9	15.161	4.893	1.026	10.81	4.018	16.1	17.42	1.2	13.751	3.462	17.863	10.639	1.408	3.206	1.965	2.136	5.299
36.17405	1.373	34.668	41.778	37.397	37.205	8.411	16.456	3.466	1.86	34.008	42.209	34.23	42.874	12.721	14.781	4.291	2.608	34.859	42.644	32.522	44.056	13.218	15.232	4.947	0.991	11.242	4.232	16.261	17.616	1.103	14.576	3.587	18.472	10.979	1.251	2.999	2.004	2.176	5.404
36.34081	2.005	34.256	41.778	37.688	37.161	8.513	17.061	3.388	1.884	34.166	41.983	35.256	42.647	12.809	15.809	4.148	2.296	35.355	42.299	32.462	44.298	13.581	15.728	5.242	0.846	11.63	4.369	16.945	17.817	1.105	15.323	3.647	19.461	11.209	1.399	3.056	1.815	2.21	5.286
36.50753	1.528	34.775	42.527	37.729	37.733	8.734	17.22	3.819	1.848	36.102	43.181	35.571	43.119	13.264	16.105	4.447	2.568	35.691	42.999	32.521	44.692	13.732	16.528	5.464	0.923	11.7	4.416	17.499	18.769	1.26	14.418	4.024	20.129	11.634	1.353	3.183	2.078	2.306	5.559
36.67414	1.596	34.25	43.111	38.322	37.795	9.024	16.878	3.562	1.836	35.72	43.428	36.057	43.088	13.685	16.825	4.491	2.387	36.661	43.326	33.262	43.959	14.01	16.689	5.391	0.966	12.004	4.265	17.851	18.975	1.057	14.972	3.877	20.06	11.666	1.322	3.119	1.961	2.272	5.518
36.84084	1.433	34.177	43.067	38.333	37.611	9.14	18.391	3.565	1.896	35.089	43.439	35.147	42.904	13.774	16.217	4.606	2.364	37.259	43.394	33.272	44.417	14.183	16.695	5.256	1.054	12.01	4.604	18.137	19.317	1.06	15.23	4.131	20.876	12.061	1.38	3.122	2.076	2.192	5.633
37.00746	1.596	35.7	43.501	38.657	37.461	9.192	18.496	3.757	2.004	35.413	43.511	36.587	42.893	14.661	16.769	4.825	2.694	37.191	43.772	33.234	45.103	14.457	18.0	5.753	1.022	12.841	4.46	19.72	19.895	1.029	15.893	3.988	21.455	12.809	1.489	3.147	1.961	2.272	5.601
37.17411	1.824	36.074	43.68	38.807	37.917	9.503	19.004	3.788	1.896	35.172	44.137	36.765	43.1	14.583	17.612	4.439	2.726	36.645	43.785	33.886	43.999	14.044	17.894	5.674	0.886	12.652	4.631	19.95	20.042	1.144	16.345	4.159	22.048	12.424	1.408	3.29	1.909	2.359	5.466
37.3408	1.74	34.874	43.82	38.946	38.531	10.2	18.195	3.956	2.063	36.037	44.22	37.099	43.769	15.029	17.947	4.773	2.643	37.371	45.04	34.276	44.836	15.327	17.922	5.646	1.137	13.014	4.771	20.201	20.489	1.228	16.345	4.243	22.885	12.731	1.548	3.318	2.076	2.527	5.773
37.50751	1.533	35.613	44.245	39.407	38.992	9.88	18.694	3.897	1.971	36.251	44.31	37.286	43.748	15.451	18.835	4.821	2.439	37.263	45.179	34.187	45.759	15.413	18.671	5.605	1.073	13.21	4.818	20.248	21.506	1.001	17.347	4.266	23.374	12.849	1.519	3.285	2.186	2.496	5.735
37.67408	1.471	36.141	44.554	39.74	38.879	10.405	19.87	4.165	2.075	36.665	44.842	37.672	43.667	15.703	18.757	4.952	2.71	36.598	45.52	34.878	45.039	15.638	18.733	5.99	1.009	13.714	5.145	21.232	22.577	1.213	18.355	4.619	24.499	13.462	1.451	3.359	2.147	2.513	5.756
37.84093	1.643	36.375	44.845	40.252	38.973	10.604	20.323	4.391	2.079	36.062	45.468	38.184	43.818	15.932	18.764	4.901	2.686	36.777	45.505	34.832	45.33	15.477	19.269	6.19	1.014	13.47	5.038	21.072	22.724	1.217	18.222	4.845	25.594	13.495	1.622	3.474	2.15	2.516	5.955
38.00745	1.895	36.253	45.47	40.66	38.658	10.771	20.977	4.175	2.111	36.279	45.674	38.984	44.277	16.509	19.671	5.238	2.606	38.014	46.043	35.579	45.397	16.443	20.064	5.883	1.073	14.268	5.598	21.612	23.678	1.168	18.433	4.656	25.574	14.353	1.296	3.674	2.214	2.412	5.93
38.17416	2.196	36.476	45.78	40.604	39.185	10.878	20.901	4.388	1.991	37.752	46.041	38.954	44.029	16.707	19.705	5.036	2.933	37.155	46.496	36.132	45.485	16.585	19.652	6.241	1.037	14.383	5.452	22.319	24.584	1.213	19.442	4.842	26.004	14.159	1.479	3.554	2.23	2.792	6.035
38.34084	1.658	36.426	45.589	40.916	39.025	11.482	21.779	4.52	2.206	36.951	46.462	38.654	44.062	17.112	20.221	5.446	2.618	37.8	46.638	36.418	45.266	17.576	20.948	6.928	1.196	14.733	5.694	23.724	25.542	1.011	19.205	4.862	27.827	14.398	1.362	3.602	2.196	2.59	6.11
38.50758	1.652	35.812	46.179	41.027	38.66	11.116	21.703	4.398	2.255	36.417	46.552	39.348	44.483	17.673	21.538	5.271	2.778	38.419	47.036	36.944	45.856	17.357	21.486	6.367	1.022	14.765	5.659	23.011	26.478	1.28	19.742	5.02	28.204	14.734	1.405	3.649	2.296	2.774	6.103
38.67419	1.737	37.473	46.246	41.017	39.46	11.365	22.133	4.516	1.979	36.968	46.812	39.786	44.802	17.719	22.052	5.33	2.753	39.097	47.238	37.633	45.616	18.015	21.554	6.561	0.914	15.478	5.718	23.884	26.564	0.952	20.285	5.109	28.738	14.977	1.358	3.738	2.388	2.781	6.245
38.84089	2.029	37.618	46.979	41.329	39.604	11.826	22.685	4.89	2.298	37.195	47.072	40.598	44.419	17.905	21.823	5.594	3.044	38.549	47.973	37.414	46.07	17.951	22.217	6.576	1.121	15.916	5.619	25.245	27.622	1.213	20.696	5.26	29.266	15.636	1.396	3.61	2.398	2.68	6.174
39.00764	2.174	36.754	47.141	41.663	39.716	11.885	22.815	4.454	2.111	37.031	47.122	41.212	44.556	18.932	22.734	5.517	2.829	39.017	47.908	38.308	45.397	18.838	22.096	7.081	0.906	16.106	6.127	25.093	28.412	1.251	20.827	5.491	29.695	16.441	1.463	3.814	2.353	2.691	6.431
39.17422	2.447	37.34	47.676	41.998	40.384	12.356	23.633	5.14	2.159	37.585	47.323	41.713	44.698	19.633	22.771	5.677	2.933	39.525	48.28	37.916	45.819	19.373	22.774	6.938	1.037	16.418	6.037	26.36	29.294	0.963	21.449	5.594	30.604	16.723	1.368	3.86	2.398	2.792	6.341
39.34092	2.168	37.702	48.15	42.276	40.022	12.941	23.744	4.722	2.298	37.696	47.323	41.435	44.587	19.55	23.524	5.872	3.128	38.884	48.726	38.585	46.656	19.122	23.332	7.217	1.009	17.059	6.121	27.503	30.381	1.186	22.787	5.539	30.91	16.723	1.535	3.916	2.537	2.848	6.258
39.50766	2.462	37.433	47.871	42.425	40.702	12.894	23.759	4.717	2.206	37.656	48.019	41.529	46.039	20.13	23.706	5.834	2.812	39.663	48.831	38.265	46.378	19.423	23.903	7.256	1.084	17.247	6.194	27.258	31.074	1.181	22.969	5.754	31.663	17.474	1.618	3.826	2.423	2.816	6.331
39.67423	2.48	37.395	48.143	42.665	40.44	13.555	25.265	4.899	2.389	37.615	48.57	41.936	45.001	20.213	24.349	5.879	3.079	39.156	49.496	38.809	46.121	19.868	23.767	7.359	0.989	17.47	6.294	27.488	31.28	1.251	23.723	5.993	32.09	18.084	1.547	4.092	2.631	2.858	6.626
39.84093	2.326	38.181	48.71	43.368	40.613	13.655	24.816	4.994	2.401	38.26	48.803	42.193	45.678	21.097	24.651	6.226	3.092	39.89	49.396	39.65	46.826	20.585	24.347	7.541	1.085	18.076	6.391	28.572	31.978	1.262	24.388	5.921	31.672	18.215	1.529	3.936	2.642	2.952	6.751
40.00758	2.494	37.596	48.989	43.702	40.864	13.989	24.648	5.439	2.373	38.065	49.026	42.638	45.427	21.375	25.515	6.142	2.952	40.642	49.563	40.012	46.325	20.975	24.988	7.374	1.029	18.661	6.781	27.987	32.981	1.373	24.917	6.367	32.201	18.104	1.473	4.187	2.614	3.119	6.806
40.17426	2.675	38.815	49.619	43.974	40.914	13.917	26.101	5.233	2.473	38.479	49.266	43.273	45.502	21.939	26.242	6.297	3.191	40.604	50.164	40.508	46.706	21.288	25.8	7.693	1.017	19.948	6.434	28.963	32.199	1.168	25.45	6.438	32.619	18.836	1.436	4.259	2.715	3.025	6.821
40.34101	2.349	38.517	49.47	44.625	40.835	14.798	25.943	5.235	2.394	38.816	50.205	43.448	45.319	21.55	26.252	6.499	3.224	41.626	51.024	40.653	47.111	21.876	26.172	7.957	1.189	19.2	6.998	29.314	33.367	1.196	26.408	6.694	33.029	19.559	1.573	4.29	2.854	3.109	6.94
40.50771	2.656	38.699	49.756	44.248	40.852	14.708	26.507	5.296	2.704	38.584	49.793	43.825	46.139	22.315	26.008	6.584	3.199	42.914	50.636	40.92	47.287	21.915	26.234	8.455	1.081	19.824	7.111	30.569	32.776	1.286	27.527	6.781	32.805	19.602	1.637	4.323	2.638	3.088	7.136
40.67428	3.148	38.829	49.821	44.321	41.237	14.635	26.358	5.739	2.67	38.942	50.052	44.344	46.181	22.703	27.584	6.632	3.249	42.391	51.196	40.997	47.216	22.636	27.114	8.08	1.076	20.265	6.992	29.911	33.307	1.23	28.321	6.914	33.869	20.131	1.528	4.292	2.806	3.227	7.184
40.84101	2.578	39.087	50.638	44.885	41.159	14.931	27.663	5.333	2.432	38.78	50.508	44.518	45.884	23.588	27.526	6.784	3.261	42.208	51.654	41.671	47.142	22.575	27.028	8.263	1.088	21.345	7.2	30.606	33.254	1.24	28.486	7.066	32.98	20.402	1.287	4.415	2.677	3.265	7.392
41.00777	2.49	39.409	50.792	45.04	40.73	15.454	27.905	5.747	2.679	39.242	50.328	44.367	46.067	23.58	27.517	6.724	3.257	42.417	51.835	42.133	47.241	22.929	27.492	8.063	1.001	21.782	7.501	30.82	33.411	1.181	29.368	7.229	33.082	20.674	1.618	4.494	2.701	3.261	7.388
41.17431	2.73	38.801	51.034	44.992	41.371	15.651	27.404	5.59	2.637	39.073	51.211	45.265	46.355	23.989	28.633	7.075	3.327	43.301	51.945	41.997	47.727	23.227	27.549	8.253	0.958	22.001	7.658	31.387	33.541	1.301	30.127	7.633	32.899	21.413	1.622	4.533	2.875	3.297	7.489
41.34118	2.671	39.29	51.198	45.06	41.225	15.714	28.269	5.708	2.833	39.015	51.067	45.806	46.614	24.281	29.856	7.184	3.439	43.046	52.462	42.543	47.537	23.379	28.468	8.27	1.128	22.426	8.016	30.875	33.658	1.143	31.204	7.383	33.526	22.043	1.358	4.566	2.997	3.334	7.374
41.50774	2.703	39.344	51.29	45.923	41.777	16.451	28.301	5.428	2.862	39.425	51.577	45.528	46.505	24.779	30.67	7.355	3.525	42.999	52.141	42.958	47.875	23.961	29.141	8.64	1.24	23.485	8.104	30.801	33.535	1.251	31.687	7.997	33.176	22.957	1.686	4.649	2.993	3.61	7.489
