	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
22.34085	1.946	32.21	25.958	28.202	25.671	40.799	1.059	1.596	2.7	32.748	26.143	29.271	25.546	41.895	1.094	1.835	2.334	27.67	26.284	28.151	25.912	41.869	1.247	1.458	1.017	2.249	0.976	2.959	0.768	2.508	1.01	1.056	0.78	1.792	0.98	2.565	0.785	2.353	0.849	0.581	1.258	1.384	1.003	1.164	0.717	0.817	0.927	0.895
22.50756	2.011	32.26	26.543	28.391	25.821	41.269	0.969	1.86	2.709	32.577	26.25	30.198	25.694	42.279	1.054	2.063	2.397	30.786	26.92	27.968	25.681	42.281	1.182	1.585	0.97	2.283	1.045	2.885	0.784	2.573	0.882	1.069	0.766	1.695	1.1	2.431	0.879	2.309	0.889	0.679	1.055	1.587	1.026	1.056	0.694	0.908	0.914	1.022
22.67431	2.095	31.685	27.007	28.796	26.498	41.604	1.036	1.71	2.741	32.252	26.465	30.414	25.993	42.513	1.076	2.067	2.377	33.573	27.09	28.545	26.164	42.54	1.282	1.711	0.978	2.374	0.959	2.975	0.803	2.658	1.159	1.067	0.737	1.777	0.993	2.585	0.824	2.394	0.832	0.617	1.294	1.423	0.92	1.076	0.762	0.859	0.965	0.846
22.84091	2.082	31.741	26.191	29.754	26.478	41.918	0.96	1.933	2.807	33.176	26.386	30.796	25.697	42.926	1.071	2.052	2.385	33.021	26.976	28.733	26.639	42.902	1.363	1.63	0.959	2.272	1.035	3.064	0.801	2.698	0.864	1.058	0.728	1.902	1.007	2.554	0.787	2.543	0.96	0.669	1.127	1.413	0.712	0.961	0.573	0.842	0.822	0.767
23.00759	2.044	31.225	26.289	29.841	26.466	42.324	1.05	2.106	2.852	32.227	26.58	31.211	26.068	43.283	1.193	2.124	2.514	33.027	27.352	28.863	26.872	43.311	1.374	1.613	1.005	2.483	1.157	3.139	0.867	2.77	0.855	1.018	0.797	1.945	1.105	2.634	0.774	2.534	0.838	0.708	1.166	1.537	0.906	1.014	0.622	0.942	0.945	0.831
23.17435	2.274	31.663	25.876	30.088	26.518	42.713	1.086	2.006	2.864	31.846	26.362	31.294	26.476	43.7	1.094	2.272	2.526	33.412	26.749	29.135	26.596	43.51	1.411	1.595	1.044	2.44	1.086	3.041	0.85	2.836	1.037	1.028	0.78	1.874	1.116	2.702	0.922	2.682	0.767	0.663	1.176	1.521	0.867	1.082	0.58	0.872	1.037	0.977
23.3409	2.144	31.299	25.975	30.6	26.589	43.036	1.174	2.039	2.926	31.865	26.818	31.15	26.493	44.133	1.21	2.198	2.698	33.267	27.012	29.508	27.077	43.998	1.253	1.82	0.943	2.448	1.011	2.994	0.829	2.843	0.885	1.227	0.732	1.881	1.124	2.738	0.847	2.689	0.856	0.67	1.1	1.61	0.876	1.036	0.67	0.962	0.879	0.901
23.50762	2.382	31.401	26.809	31.059	26.958	43.476	1.189	2.136	3.027	32.898	27.276	31.526	26.37	44.356	1.227	2.381	2.608	32.658	26.645	29.853	27.145	44.411	1.433	1.836	0.99	2.44	1.164	3.26	0.845	2.944	1.053	1.08	0.832	2.063	1.087	2.677	0.864	2.79	0.901	0.741	1.281	1.71	0.956	1.113	0.773	1.008	0.951	0.998
23.67431	2.391	30.67	26.057	31.037	26.863	43.748	1.146	2.094	3.008	30.743	26.545	31.915	26.903	44.653	1.292	2.444	2.67	33.021	27.313	29.836	27.542	44.709	1.417	1.902	1.107	2.53	1.175	3.213	0.883	3.035	0.967	1.035	0.787	1.963	1.151	2.792	0.874	2.798	0.883	0.724	1.183	1.692	0.794	1.091	0.67	0.962	0.879	0.928
23.84094	2.404	30.388	26.256	31.145	27.446	44.066	1.207	2.155	3.188	30.873	26.566	32.681	26.777	44.948	1.329	2.513	2.714	32.469	26.559	30.426	27.441	45.167	1.535	1.992	1.068	2.574	1.212	3.339	0.919	3.159	1.172	1.32	0.771	2.003	1.274	2.841	0.831	2.923	1.004	0.76	1.219	1.649	0.738	1.167	0.689	1.032	0.999	1.017
24.0077	2.682	30.89	26.264	31.813	27.756	44.406	1.319	2.322	3.164	31.376	27.041	32.553	27.114	45.535	1.333	2.682	2.8	32.149	27.91	30.929	27.723	45.645	1.511	1.94	1.099	2.715	1.271	3.343	1.059	3.163	1.096	1.269	0.912	2.062	1.25	2.955	0.971	3.146	1.062	0.928	1.222	1.653	0.853	1.144	0.61	1.035	1.14	0.855
24.17443	2.387	30.989	26.568	32.012	27.784	44.611	1.253	2.337	3.196	31.254	26.836	32.835	27.195	45.708	1.343	2.686	2.858	32.245	27.851	31.058	27.698	45.818	1.496	1.981	1.103	2.745	1.144	3.373	0.88	3.277	1.262	1.278	0.811	2.124	1.312	2.952	0.87	3.013	1.016	0.885	1.179	1.634	0.871	1.114	0.639	0.985	1.013	0.898
24.34099	2.495	30.807	26.872	32.082	27.843	44.939	1.301	2.386	3.141	30.717	26.711	33.069	27.392	46.066	1.312	2.659	2.804	32.23	27.201	31.614	28.413	46.258	1.683	2.085	1.158	2.718	1.25	3.429	0.958	3.304	1.141	1.221	0.836	2.149	1.392	2.928	0.95	3.04	1.151	0.826	1.23	1.741	0.96	1.117	0.668	1.012	1.064	0.947
24.50778	2.574	30.826	27.549	32.592	28.108	45.283	1.38	2.711	3.301	30.105	26.017	32.868	27.465	46.464	1.391	2.709	3.019	31.974	26.754	32.207	28.213	46.41	1.652	2.493	1.154	2.796	1.274	3.425	0.982	3.273	1.381	1.244	0.832	2.146	1.252	2.924	0.946	3.283	0.983	0.823	1.309	1.737	0.901	1.113	0.664	1.063	1.033	0.943
24.67449	2.706	29.867	26.503	32.351	28.598	45.601	1.316	2.538	3.325	30.517	27.772	33.174	27.846	46.73	1.412	2.815	2.988	31.592	26.778	31.852	28.428	46.812	1.59	2.101	1.177	2.903	1.295	3.504	1.056	3.406	1.199	1.238	0.853	2.085	1.274	2.923	0.995	3.224	0.922	0.925	1.328	1.896	0.93	1.249	0.771	1.114	1.136	0.962
24.84114	2.607	30.58	27.104	32.683	28.623	45.828	1.38	2.575	3.501	30.956	27.198	33.999	28.256	47.068	1.422	3.019	2.973	31.483	27.407	32.51	28.727	47.205	1.545	2.193	1.189	2.915	1.47	3.598	1.093	3.39	1.19	1.276	0.836	2.343	1.34	3.019	1.006	3.263	1.014	0.852	1.229	1.88	0.945	1.263	0.728	1.125	1.146	1.108
25.0078	2.792	30.287	26.703	32.772	29.291	46.051	1.374	2.843	3.52	30.937	27.37	34.116	28.074	47.235	1.497	3.011	3.129	31.053	27.39	32.19	28.683	47.537	1.675	2.187	1.319	3.044	1.435	3.617	1.005	3.574	1.205	1.434	0.857	2.171	1.497	3.01	0.971	3.31	1.007	0.928	1.304	1.763	0.99	1.144	0.775	1.255	1.057	1.047
25.17453	2.784	30.909	26.525	33.948	28.868	46.276	1.417	2.777	3.595	31.066	26.924	33.948	28.502	47.654	1.487	3.305	3.177	31.099	27.598	32.401	28.835	47.9	1.719	2.34	1.256	3.065	1.563	3.72	1.103	3.566	1.456	1.424	0.957	2.272	1.379	3.114	1.071	3.495	1.08	0.972	1.431	1.781	0.932	1.084	0.741	1.11	1.157	1.035
25.34114	2.906	30.141	27.088	33.516	29.644	46.58	1.526	2.856	3.551	31.09	27.493	34.066	28.973	47.923	1.617	3.315	3.213	31.699	28.016	32.808	29.421	48.197	1.715	2.309	1.212	3.018	1.472	3.619	1.181	3.742	1.536	1.442	1.03	2.342	1.448	3.116	1.007	3.533	1.18	0.967	1.289	1.852	1.008	1.25	0.721	1.204	1.095	0.98
25.50777	2.868	30.132	27.141	33.877	29.311	46.678	1.578	2.852	3.648	30.969	27.888	33.965	29.021	48.235	1.61	3.439	3.063	31.824	27.219	33.315	29.089	48.319	1.873	2.495	1.255	3.059	1.383	3.688	1.148	3.648	1.365	1.488	0.994	2.224	1.493	3.153	1.081	3.63	1.227	1.016	1.337	1.789	0.904	1.151	0.788	1.165	1.17	0.949
25.67451	2.982	30.133	27.445	34.006	29.613	46.906	1.723	2.996	3.707	30.695	26.931	34.694	28.995	48.46	1.916	3.551	3.312	31.849	26.704	33.64	29.365	48.763	1.772	2.502	1.286	3.089	1.58	3.8	1.21	3.843	1.518	1.413	0.973	2.229	1.334	3.127	1.059	3.688	1.124	0.942	1.318	1.958	0.93	1.261	0.682	1.169	1.122	1.094
25.8413	3.032	30.842	26.649	33.959	29.775	47.142	1.742	3.152	3.73	29.905	27.37	35.493	29.539	48.644	1.774	3.63	3.336	31.742	26.673	33.779	29.28	49.083	1.873	2.686	1.309	3.114	1.628	3.742	1.312	3.921	1.61	1.516	0.994	2.251	1.575	3.181	1.135	3.794	1.227	1.016	1.256	1.871	0.823	1.151	0.761	1.247	1.224	1.14
26.00781	3.168	29.996	26.404	34.314	30.02	47.306	1.496	3.343	3.839	30.887	27.206	35.083	29.512	49.054	1.746	3.685	3.336	30.759	27.928	33.56	29.771	49.411	1.791	2.767	1.337	3.278	1.71	3.906	1.312	4.003	1.392	1.516	0.994	2.333	1.575	3.235	1.135	3.821	1.309	1.125	1.392	1.871	0.904	1.151	0.788	1.247	1.224	1.058
26.17456	3.157	29.723	26.652	33.683	29.912	47.433	1.651	3.36	3.828	31.05	26.278	35.38	29.703	49.125	1.818	3.836	3.406	30.568	27.275	34.132	29.636	49.591	1.836	2.757	1.379	3.265	1.672	3.894	1.247	4.127	1.455	1.587	0.984	2.404	1.591	3.222	1.125	3.945	1.298	1.033	1.409	1.941	0.972	1.22	0.912	1.153	1.241	1.049
26.34138	3.129	31.534	27.393	34.82	30.137	47.846	1.727	3.602	3.937	30.214	27.435	35.48	29.657	49.541	1.842	4.029	3.435	31.779	27.826	34.336	30.243	49.953	2.05	2.972	1.325	3.404	1.697	3.95	1.352	4.155	1.553	1.639	1.036	2.402	1.535	3.363	1.314	4.056	1.35	1.029	1.433	1.912	1.061	1.36	0.996	1.29	1.32	1.043
26.50786	3.289	30.378	27.302	34.864	30.183	48.134	1.833	3.462	4.015	30.696	26.661	35.852	30.003	49.938	1.948	4.134	3.512	31.005	27.954	35.227	30.453	50.295	1.965	2.941	1.403	3.317	1.803	4.028	1.431	4.151	1.547	1.636	1.087	2.644	1.695	3.413	1.31	4.052	1.401	1.053	1.484	1.881	1.001	1.219	0.856	1.286	1.317	1.122
26.67472	3.192	30.214	27.218	35.06	30.592	48.472	1.924	3.527	4.082	30.014	27.099	36.184	30.413	50.141	1.958	4.228	3.661	31.989	27.844	34.929	30.397	50.497	1.866	3.034	1.442	3.466	1.95	4.095	1.578	4.245	1.757	1.647	1.043	2.519	1.679	3.508	1.321	4.31	1.494	1.118	1.357	1.92	1.016	1.369	0.95	1.352	1.354	1.131
26.84129	3.481	30.415	27.361	35.293	30.546	48.877	1.882	3.704	4.044	30.816	27.247	36.144	30.449	50.575	1.972	4.245	3.76	30.906	27.687	35.16	30.706	50.959	2.234	3.047	1.54	3.511	1.827	4.139	1.536	4.371	1.946	1.743	1.112	2.589	1.94	3.444	1.417	4.326	1.509	1.213	1.425	2.071	1.118	1.25	0.803	1.395	1.368	1.171
27.00809	3.422	30.223	26.207	35.932	30.682	49.308	1.983	3.834	4.15	30.954	27.468	36.673	30.422	51.119	2.048	4.462	3.731	31.043	27.931	35.356	31.142	51.366	2.09	3.314	1.537	3.453	1.822	4.164	1.694	4.532	1.901	1.683	1.243	2.638	1.745	3.499	1.384	4.433	1.612	1.179	1.445	2.038	1.12	1.277	0.91	1.337	1.471	1.245
27.17474	3.395	29.867	27.275	35.85	30.901	49.472	2.12	3.752	4.15	30.708	27.222	36.591	31.298	51.228	2.048	4.544	3.868	31.371	28.26	35.383	30.814	51.557	2.118	3.259	1.537	3.536	2.068	4.246	1.611	4.532	1.984	1.847	1.133	2.638	1.745	3.636	1.439	4.351	1.53	1.179	1.445	2.093	1.065	1.359	0.91	1.419	1.471	1.327
27.35206	3.649	30.424	27.287	36.48	31.539	50.449	2.186	4.172	4.212	31.454	27.393	37.577	30.924	52.01	2.222	4.769	3.874	31.872	28.188	36.181	31.098	52.23	2.101	3.461	1.627	3.651	2.132	4.225	1.622	4.539	2.28	1.719	1.143	2.62	1.944	3.64	1.448	4.604	1.594	1.244	1.265	2.02	1.095	1.2	1.026	1.563	1.509	1.174
27.5081	3.745	30.296	27.854	36.023	31.058	50.286	2.078	4.196	4.415	31.077	27.586	37.475	31.094	52.14	2.134	4.696	3.884	31.795	27.985	36.175	31.382	52.497	2.29	3.592	1.558	3.689	2.098	4.318	1.864	4.715	2.173	1.767	1.218	2.692	1.879	3.617	1.523	4.615	1.696	1.323	1.536	2.094	1.175	1.316	0.982	1.414	1.476	1.258
27.67485	3.597	30.242	27.12	36.754	31.031	50.766	2.15	4.24	4.212	30.967	27.666	37.769	30.712	52.427	2.206	5.092	3.953	31.685	27.686	36.444	31.355	52.73	2.361	3.745	1.628	3.677	2.087	4.278	1.854	4.784	2.235	1.729	1.126	2.627	1.949	3.604	1.621	4.739	1.713	1.177	1.28	1.92	1.106	1.248	0.942	1.402	1.52	1.248
27.84144	3.643	30.414	26.423	37.032	31.639	51.013	2.28	4.505	4.395	30.976	27.102	37.666	31.102	52.836	2.226	5.056	3.781	31.312	28.023	36.125	31.337	53.193	2.246	3.629	1.593	3.75	1.916	4.269	1.847	4.667	2.168	1.831	1.201	2.701	1.86	3.595	1.586	4.757	1.787	1.334	1.437	2.021	1.069	1.32	0.933	1.476	1.459	1.242
28.00811	3.728	30.523	26.836	37.048	31.068	51.425	2.288	4.511	4.37	30.566	27.726	37.764	31.482	53.381	2.177	5.248	3.92	31.175	28.297	36.554	31.719	53.521	2.334	3.717	1.65	3.697	2.194	4.353	1.745	4.67	2.375	1.809	1.179	2.651	2.0	3.676	1.51	4.868	1.847	1.314	1.363	2.054	1.039	1.267	1.017	1.507	1.574	1.223
28.1748	3.876	30.686	27.65	37.57	31.394	51.818	2.406	4.658	4.546	30.703	27.237	38.286	31.591	53.721	2.297	5.424	3.987	31.257	27.915	36.639	31.474	53.97	2.399	4.081	1.662	3.873	2.287	4.42	1.918	4.845	2.558	1.874	1.299	2.744	2.121	3.663	1.575	4.881	1.912	1.242	1.454	2.146	0.972	1.28	1.03	1.682	1.584	1.233
28.34147	3.806	30.677	27.752	37.363	31.494	52.201	2.366	4.644	4.421	31.727	27.662	38.433	31.146	54.075	2.527	5.162	4.16	30.84	27.636	37.034	31.683	54.405	2.494	3.877	1.81	3.802	2.381	4.485	1.932	4.91	2.587	1.86	1.203	2.811	2.105	3.808	1.724	5.109	1.843	1.392	1.659	2.159	1.062	1.371	0.986	1.449	1.57	1.248
28.50826	3.806	30.949	26.828	37.526	31.82	52.609	2.366	4.671	4.584	31.074	27.227	38.651	31.418	54.564	2.364	5.705	4.051	31.574	28.451	37.632	31.547	54.732	2.385	4.203	1.674	3.884	2.435	4.431	1.905	4.883	2.668	1.805	1.257	2.729	2.105	3.753	1.724	5.109	2.006	1.283	1.604	2.077	1.062	1.289	1.149	1.666	1.652	1.302
28.67488	4.027	30.523	27.462	37.537	31.965	53.084	2.56	4.919	4.506	30.43	27.318	38.362	31.509	54.986	2.612	5.656	4.164	31.91	28.515	37.316	31.692	55.344	2.416	4.207	1.732	3.888	2.439	4.571	2.071	5.132	2.539	2.027	1.288	2.842	2.109	3.84	1.809	5.14	2.173	1.314	1.608	2.135	1.202	1.294	1.099	1.534	1.819	1.387
28.84154	4.109	31.121	27.298	37.701	31.992	53.519	2.56	5.001	4.697	31.355	27.889	38.58	32.053	55.34	2.694	5.982	4.219	32.508	28.27	38.132	32.208	55.697	2.552	4.397	1.732	3.969	2.466	4.516	2.153	5.404	2.593	2.054	1.288	3.005	2.272	3.758	1.755	5.222	2.146	1.395	1.689	2.244	1.148	1.294	1.099	1.616	1.764	1.414
29.00821	3.987	31.409	26.971	38.188	31.874	53.957	2.582	5.073	4.791	31.153	27.304	38.633	31.742	55.853	2.603	6.046	4.122	31.681	28.291	37.513	32.009	56.048	2.626	4.415	1.773	4.008	2.565	4.556	2.2	5.253	2.719	2.017	1.388	2.804	2.396	3.848	1.935	5.315	2.136	1.334	1.574	2.207	1.153	1.304	1.22	1.631	1.783	1.355
29.17492	4.009	31.422	27.292	37.8	32.266	54.457	2.643	5.387	4.707	30.976	27.239	38.543	31.811	56.228	2.672	6.295	4.339	32.103	28.185	37.871	32.263	56.421	2.692	4.675	1.85	4.089	2.663	4.691	2.266	5.442	3.059	2.005	1.293	2.876	2.444	3.881	2.006	5.342	2.261	1.344	1.692	2.196	1.192	1.307	1.273	1.624	1.878	1.415
29.34161	4.055	31.094	27.026	38.136	31.965	54.879	2.777	5.436	4.778	31.056	27.671	39.26	31.727	56.618	2.803	6.254	4.3	31.366	28.215	38.295	32.372	56.921	2.742	4.723	1.895	4.105	2.602	4.598	2.343	5.459	3.001	2.054	1.424	2.923	2.571	3.812	1.972	5.63	2.173	1.395	1.798	2.163	1.066	1.267	1.262	1.67	2.009	1.305
29.50828	4.129	30.895	27.313	38.273	32.365	55.274	2.658	5.645	4.799	31.947	27.501	39.234	31.855	57.07	2.794	6.767	4.349	31.957	27.687	38.238	32.254	57.318	3.086	4.878	1.997	4.154	2.811	4.755	2.415	5.589	2.897	2.127	1.551	2.915	2.51	3.944	2.1	5.625	2.355	1.412	1.624	2.181	1.145	1.452	1.202	1.69	1.918	1.402
29.67513	4.158	30.878	27.317	38.788	32.43	55.697	2.926	5.971	4.965	31.086	28.113	38.93	32.194	57.687	2.847	6.745	4.461	31.859	28.239	38.638	32.291	57.854	2.784	5.123	1.971	4.184	2.974	4.813	2.522	5.619	2.861	2.098	1.576	2.942	2.564	3.949	2.099	5.737	2.6	1.518	1.784	2.452	1.344	1.429	1.231	1.745	2.052	1.424
29.84173	4.214	31.71	28.133	38.451	32.636	56.035	2.965	5.84	4.937	30.911	28.042	39.031	32.071	58.018	2.935	7.065	4.486	32.172	28.506	38.665	31.683	57.995	2.793	5.046	1.918	4.264	3.115	4.757	2.503	5.781	3.239	2.132	1.529	3.137	2.568	3.998	2.213	6.006	2.577	1.473	1.795	2.24	1.225	1.452	1.394	1.693	2.06	1.465
30.00838	4.257	31.203	27.786	38.85	32.428	56.335	3.005	6.155	5.172	31.084	27.618	39.702	31.836	58.402	3.14	7.275	4.477	32.101	28.568	38.544	32.073	58.215	3.079	5.224	1.989	4.227	2.94	4.937	2.572	5.662	3.184	2.282	1.598	3.016	2.665	4.071	2.337	5.942	2.565	1.541	1.754	2.228	1.381	1.47	1.356	1.764	2.156	1.478
30.1751	4.357	31.251	27.825	38.456	32.885	56.652	2.932	6.361	5.082	31.732	27.696	39.607	32.294	58.889	3.127	7.491	4.633	32.859	28.066	39.096	32.664	58.401	3.009	5.376	2.034	4.329	3.063	4.876	2.72	5.955	3.446	2.351	1.584	3.14	2.872	4.149	2.379	6.073	2.635	1.524	1.846	2.214	1.299	1.411	1.376	1.917	2.141	1.676
30.34176	4.402	31.086	27.939	38.845	32.61	56.799	3.093	6.244	5.18	31.974	27.637	39.479	32.127	59.112	3.175	7.393	4.676	32.528	28.341	39.191	32.635	58.897	3.059	5.504	2.106	4.399	3.22	4.946	2.851	5.916	3.523	2.317	1.605	3.16	2.864	4.107	2.318	6.196	2.845	1.657	1.842	2.263	1.336	1.398	1.338	1.854	2.082	1.511
30.50845	4.473	31.22	28.352	38.499	32.961	57.434	3.145	6.617	5.142	32.187	27.633	39.895	32.042	59.306	3.223	7.812	4.637	32.307	28.479	39.395	32.58	59.637	2.973	5.687	2.124	4.333	3.294	4.907	2.819	5.958	3.654	2.338	1.654	3.153	3.072	4.12	2.365	6.319	2.892	1.681	1.784	2.229	1.291	1.412	1.327	2.008	2.158	1.564
30.67507	4.404	32.39	28.215	38.995	32.772	57.911	3.155	6.656	5.318	31.563	28.233	39.766	32.207	59.568	3.234	7.908	4.622	32.172	28.506	38.829	32.689	60.252	3.174	5.889	2.163	4.455	3.605	5.083	2.911	5.971	3.674	2.295	1.719	3.219	3.003	4.161	2.567	6.36	2.904	1.637	1.74	2.295	1.279	1.452	1.394	1.857	2.223	1.492
30.84185	4.559	31.827	27.491	38.945	32.753	58.318	3.203	6.811	5.337	31.572	28.023	39.77	32.106	59.702	3.39	8.089	4.695	33.023	28.189	39.406	32.48	60.304	3.248	5.935	2.209	4.446	3.597	4.993	2.958	6.18	3.58	2.423	1.739	3.157	3.076	4.206	2.641	6.351	2.977	1.63	1.897	2.396	1.405	1.498	1.412	2.066	2.297	1.649
31.00863	4.641	31.746	28.442	38.755	33.134	58.59	3.366	7.029	5.255	32.224	27.806	39.852	32.378	60.164	3.526	8.279	4.777	32.398	28.76	39.677	32.915	61.147	3.303	6.017	2.236	4.5	3.597	4.993	2.985	6.125	3.715	2.287	1.739	3.075	3.076	4.206	2.695	6.405	3.059	1.684	1.869	2.478	1.432	1.444	1.331	1.903	2.243	1.568
31.17519	4.71	31.745	28.091	39.101	33.106	58.846	3.464	7.315	5.514	32.223	28.701	39.709	32.513	60.228	3.704	8.264	4.709	32.94	28.896	39.482	32.914	61.618	3.373	6.222	2.306	4.65	3.667	5.034	3.029	6.194	3.886	2.494	1.864	3.281	3.2	4.274	2.548	6.582	3.102	1.728	1.778	2.466	1.39	1.43	1.4	2.0	2.477	1.721
31.34193	4.703	31.411	28.541	39.076	33.071	58.945	3.454	7.39	5.4	32.08	28.314	40.01	32.343	60.302	3.533	8.778	4.894	32.417	28.696	39.78	32.879	61.775	3.473	6.406	2.381	4.591	3.686	5.083	3.21	6.352	3.973	2.431	1.828	3.3	3.492	4.297	2.703	6.659	3.203	1.718	1.822	2.376	1.442	1.425	1.503	1.993	2.549	1.492
31.50855	4.693	32.169	29.034	39.029	33.34	59.711	3.451	7.598	5.415	32.185	28.39	39.773	32.339	60.521	3.743	8.923	4.828	33.12	29.349	39.331	33.203	62.128	3.522	6.505	2.289	4.578	3.841	5.18	3.286	6.475	3.914	2.424	1.931	3.347	3.428	4.255	2.777	6.727	3.195	1.769	1.873	2.506	1.533	1.548	1.545	2.065	2.462	1.545
31.67523	4.837	31.699	28.399	39.16	33.63	60.283	3.512	7.47	5.505	32.53	28.084	40.203	32.412	60.687	3.697	9.15	4.999	33.302	28.444	39.841	33.222	62.484	3.448	6.757	2.297	4.642	4.066	5.134	3.293	6.484	4.171	2.513	1.884	3.219	3.436	4.292	2.866	6.899	3.338	1.721	2.097	2.378	1.57	1.503	1.473	2.154	2.605	1.633
31.84188	4.923	32.021	27.92	39.237	33.218	60.462	3.75	7.8	5.62	32.501	28.219	40.117	32.491	60.978	3.669	9.304	4.98	33.355	28.758	40.318	33.189	62.67	3.498	6.979	2.491	4.73	4.231	5.277	3.399	6.492	4.183	2.566	1.99	3.436	3.657	4.33	3.002	7.099	3.639	1.824	2.145	2.511	1.613	1.702	1.587	2.13	2.657	1.814
32.00863	4.881	31.573	28.787	39.26	33.885	60.831	3.797	8.003	5.658	32.649	28.938	40.139	32.885	61.508	3.794	9.796	5.044	34.019	29.322	39.83	33.341	63.55	3.625	7.317	2.395	4.768	4.191	5.233	3.552	6.665	4.144	2.447	1.98	3.452	3.751	4.528	3.044	7.216	3.544	1.898	2.056	2.528	1.726	1.602	1.707	2.089	2.701	1.727
32.17521	4.952	33.025	28.903	39.523	33.924	61.489	3.92	8.265	5.757	32.933	28.542	40.294	33.059	61.758	3.918	9.708	5.062	33.052	28.868	40.362	33.514	63.857	3.749	7.416	2.466	4.867	4.343	5.224	3.649	6.737	4.524	2.598	1.995	3.467	3.85	4.411	3.142	7.262	3.533	1.83	2.043	2.489	1.61	1.511	1.643	2.187	2.798	1.74
32.34196	4.858	32.833	29.475	39.543	33.895	61.607	4.072	8.578	5.826	32.741	29.11	40.015	32.867	61.958	4.069	10.019	5.103	33.35	29.249	40.221	32.997	63.974	3.792	7.376	2.644	4.854	4.331	5.292	3.638	6.887	4.504	2.532	2.066	3.537	4.163	4.478	3.184	7.302	3.711	1.82	2.032	2.478	1.65	1.498	1.711	2.311	2.95	1.785
32.5087	5.088	31.801	28.386	39.768	34.114	61.951	3.974	8.673	5.866	32.171	28.814	40.81	33.25	63.2	4.244	10.415	5.144	32.916	28.977	40.716	33.432	64.346	3.83	7.878	2.548	4.867	4.615	5.387	3.785	6.819	4.578	2.679	2.213	3.576	4.013	4.547	3.278	7.316	3.642	1.912	2.206	2.543	1.692	1.593	1.724	2.323	2.961	1.876
32.67533	5.086	32.075	28.846	39.646	34.253	62.177	4.213	8.916	6.029	33.045	28.709	40.661	33.226	63.211	4.241	10.584	5.252	33.464	29.03	40.346	33.897	64.957	4.07	8.013	2.764	5.03	4.776	5.277	3.753	6.927	4.646	2.648	2.344	3.817	4.12	4.521	3.302	7.508	3.829	1.824	2.172	2.593	1.722	1.702	1.832	2.293	2.984	1.76
32.842	5.114	32.266	29.255	40.0	33.736	62.531	4.458	9.053	6.11	33.59	28.545	40.852	33.498	63.674	4.268	11.101	5.334	33.736	29.248	40.781	33.434	65.257	3.934	8.095	2.737	5.03	4.803	5.522	3.971	7.064	5.028	2.729	2.235	3.572	4.392	4.575	3.465	7.59	3.911	1.933	2.172	2.566	1.858	1.566	1.778	2.375	3.12	1.923
33.00876	5.233	32.5	28.975	39.845	33.861	62.661	4.281	9.361	5.957	32.762	28.779	40.479	32.861	63.857	4.334	11.052	5.316	33.071	28.968	41.037	33.614	65.493	4.082	8.35	2.72	5.093	4.95	5.504	4.119	7.209	4.701	2.714	2.247	3.666	4.375	4.502	3.558	7.571	4.058	2.055	2.159	2.578	1.784	1.765	1.815	2.358	3.268	1.91
33.17547	5.251	32.862	29.556	39.822	34.196	63.229	4.409	9.298	6.002	32.933	28.678	41.028	33.359	64.288	4.299	11.476	5.361	34.222	29.793	41.042	34.112	65.625	4.129	8.341	2.793	5.166	5.104	5.496	4.03	7.063	5.177	2.625	2.376	3.712	4.503	4.655	3.55	7.751	4.104	2.048	2.288	2.489	1.91	1.702	1.833	2.432	3.179	1.903
33.34219	5.327	32.91	30.199	39.825	34.57	63.524	4.591	9.593	6.133	33.144	28.808	41.085	33.325	64.611	4.591	11.586	5.411	34.216	29.811	40.988	34.133	65.84	4.148	8.771	2.814	5.107	5.125	5.49	4.212	7.304	5.266	2.862	2.395	3.759	4.552	4.734	3.706	7.911	4.288	1.984	2.387	2.671	1.881	1.779	1.855	2.507	3.307	1.92
33.50881	5.396	32.745	30.036	40.172	34.705	63.75	4.607	9.824	6.201	32.544	29.024	41.078	33.296	64.891	4.66	11.732	5.533	32.99	29.865	41.363	34.131	66.282	4.327	9.139	2.91	5.257	5.494	5.668	4.391	7.372	5.0	2.85	2.465	3.666	4.783	4.719	3.803	8.142	4.357	2.082	2.295	2.632	1.947	1.765	1.924	2.522	3.431	2.046
