	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
24.17313	9.247	67.049	27.76	47.643	53.89	17.304	10.071	15.198	9.194	68.229	31.726	47.027	54.929	16.805	10.706	16.304	12.839	71.171	13.93	45.922	55.208	17.486	10.472	14.669	14.085	14.302	14.722	13.957	18.323	4.036	17.091	13.477	11.739	15.207	14.623	15.266	2.346	15.946	10.749	10.74	11.789	8.632	13.884	1.909	13.817
24.33998	9.461	66.815	28.368	48.075	54.053	17.134	10.26	15.35	9.148	67.649	31.814	47.23	55.031	16.696	10.523	15.994	12.875	70.675	14.138	46.32	55.481	17.347	10.148	14.535	14.006	14.14	14.812	13.995	18.096	4.007	17.209	13.344	11.752	15.243	14.43	15.159	2.407	15.981	10.706	10.271	11.831	8.48	13.749	1.82	13.77
24.50649	9.333	66.935	28.672	48.442	54.574	17.047	10.299	14.856	9.137	67.545	31.897	47.626	55.385	16.748	10.507	16.048	13.352	71.399	14.757	46.891	55.664	17.486	10.501	14.526	13.714	14.045	14.523	13.928	18.323	4.093	17.148	13.449	11.625	15.065	14.88	15.266	2.432	15.832	11.063	10.683	11.789	8.86	13.741	1.852	13.817
24.67322	9.533	66.749	29.037	49.058	54.884	16.799	10.582	14.802	9.167	67.533	32.58	48.328	55.926	16.498	10.677	15.997	13.3	71.332	15.246	47.368	55.777	17.378	10.442	14.559	13.776	14.42	14.901	14.131	18.304	4.198	17.441	13.138	11.683	15.069	14.571	15.07	2.448	16.236	11.178	10.455	11.761	8.886	14.259	1.872	13.964
24.83997	9.642	66.576	29.006	49.398	54.959	16.756	10.551	15.193	9.474	67.443	32.885	48.383	55.827	16.486	10.844	15.956	13.29	71.382	15.72	47.733	56.163	17.138	10.411	14.664	13.737	14.382	14.717	13.923	18.174	4.119	17.655	13.216	11.221	14.632	14.447	15.004	2.429	15.997	11.229	10.508	11.927	9.027	14.078	1.763	13.67
25.00655	9.756	66.561	29.2	50.016	55.441	16.45	10.606	14.711	9.562	67.173	33.256	49.001	56.197	16.521	10.9	15.82	13.009	71.343	16.268	48.154	56.362	16.916	10.437	14.639	13.856	14.129	14.581	14.04	18.098	4.281	17.691	12.99	11.336	14.749	14.651	15.036	2.617	15.717	11.116	10.593	12.242	8.911	14.282	1.869	13.758
25.17324	10.047	66.162	29.46	50.362	55.396	16.578	10.466	15.062	9.684	67.206	32.922	49.461	56.526	16.647	10.761	16.147	13.305	71.207	16.509	48.532	56.719	17.128	10.64	14.591	13.809	14.081	14.622	13.992	18.256	4.218	17.248	13.112	11.284	15.187	14.291	14.989	2.55	15.899	11.151	10.654	11.933	8.77	14.636	1.865	13.91
25.33994	9.742	66.169	29.345	50.947	55.628	16.689	10.564	15.095	9.717	66.581	33.883	49.79	56.81	16.104	11.485	15.86	13.021	71.377	17.562	49.056	56.748	16.87	10.424	14.452	13.725	14.484	14.478	14.053	18.335	4.442	17.445	12.975	11.407	14.79	14.292	14.763	2.466	15.444	10.902	10.664	12.141	8.955	14.322	2.001	13.828
25.50664	9.874	65.966	29.641	51.435	56.313	16.648	9.957	15.113	9.536	67.004	34.006	50.591	56.924	16.321	10.849	15.791	13.267	71.513	18.006	49.913	56.89	17.4	10.9	14.298	13.714	14.473	14.608	14.099	18.351	4.378	17.234	12.879	11.454	15.207	14.395	14.952	2.603	15.746	10.92	10.826	11.846	8.889	14.511	2.023	13.931
25.67327	10.055	65.713	29.972	51.917	56.198	16.404	10.593	14.924	9.831	66.895	33.969	50.93	57.181	16.332	10.944	16.173	13.164	71.462	18.789	50.111	57.118	16.87	10.509	14.509	13.811	14.113	14.905	13.967	18.335	4.356	17.445	12.889	11.407	15.133	14.321	14.763	2.523	15.501	11.101	10.522	12.227	8.641	14.693	1.944	13.743
25.83994	10.118	66.027	30.148	52.094	56.668	16.532	10.795	15.246	9.697	66.527	34.093	51.422	57.454	16.373	10.719	15.901	13.203	71.498	19.804	50.634	57.647	16.654	11.14	14.375	13.678	14.237	14.604	13.833	18.38	4.38	16.83	12.668	11.155	15.257	14.531	15.058	2.542	15.653	11.136	10.726	12.004	9.014	14.876	1.94	13.808
26.00661	10.169	65.314	30.201	52.459	56.655	16.233	10.678	15.009	9.945	66.609	34.853	51.814	57.438	16.332	11.143	15.945	13.164	71.462	20.157	50.881	57.603	17.041	11.08	14.366	13.411	14.712	14.364	13.882	18.507	4.556	17.103	12.547	11.236	15.218	14.207	14.792	2.352	15.672	11.073	10.436	12.113	8.784	14.921	1.858	13.771
26.17334	10.417	65.607	30.321	52.768	56.939	16.371	10.725	14.888	9.767	66.505	34.892	52.181	57.753	16.412	11.133	15.969	13.129	71.189	21.24	51.221	57.918	16.75	10.87	14.645	13.604	14.477	14.672	13.789	18.389	4.655	16.67	12.539	11.512	14.983	14.4	14.899	2.448	15.465	11.178	10.854	11.904	9.258	14.973	1.758	13.792
26.33996	10.317	65.587	30.894	53.442	57.154	16.039	10.683	15.129	10.036	66.512	35.747	52.398	57.994	16.195	11.29	16.094	13.198	71.394	21.647	51.95	58.331	16.705	11.255	14.429	13.502	14.489	14.113	13.716	18.256	4.816	16.995	12.78	11.469	14.796	14.555	14.712	2.554	15.249	10.935	10.669	11.889	9.216	15.241	1.919	13.434
26.50661	10.246	65.607	31.121	53.824	57.082	16.342	10.668	15.145	10.195	66.077	35.948	53.095	58.152	16.241	11.39	16.169	13.414	70.504	23.038	52.363	58.46	16.636	11.098	14.445	13.661	14.42	14.415	13.875	18.189	4.912	16.67	12.453	11.483	15.012	14.571	14.699	2.363	15.294	11.007	10.711	12.047	9.486	15.172	2.044	13.421
26.67348	10.337	65.538	31.444	54.209	57.467	16.263	11.5	14.893	10.029	66.322	36.101	53.365	58.395	16.333	11.309	16.003	13.306	70.864	23.702	52.862	58.675	16.499	11.445	14.793	13.581	14.226	14.592	13.823	17.939	4.887	16.733	12.629	11.517	14.903	14.748	14.648	2.794	15.186	11.012	10.688	12.137	9.005	15.264	1.876	13.512
26.84001	10.817	65.236	31.777	54.738	57.91	15.914	11.067	15.316	10.452	66.22	36.547	53.98	58.58	16.412	11.761	15.826	13.214	70.847	23.58	53.419	59.231	16.379	11.269	14.559	13.519	14.991	14.415	13.903	18.446	4.998	17.127	12.396	11.398	14.983	14.571	14.471	2.534	15.094	11.093	10.883	12.589	9.315	15.543	2.044	13.507
27.00671	10.767	65.436	32.07	54.948	58.068	16.041	10.842	14.839	10.09	66.193	37.076	54.39	59.027	16.196	11.023	15.782	13.425	70.453	24.346	53.861	59.163	16.505	11.387	14.282	13.786	14.601	14.542	13.769	18.148	4.993	16.797	12.66	11.603	14.85	14.439	14.423	2.553	15.333	10.87	10.744	12.195	9.374	15.213	1.954	13.63
27.1734	10.726	65.448	32.224	55.523	58.124	15.994	10.949	15.025	10.561	65.804	37.079	54.793	58.994	16.435	11.871	16.02	13.323	70.487	24.458	54.004	59.387	16.288	11.208	14.725	13.428	14.5	14.666	13.812	18.354	5.165	16.807	12.362	11.593	15.149	14.509	14.437	2.56	15.26	10.688	10.707	12.042	9.339	15.595	2.012	13.445
27.34001	10.753	65.778	32.112	55.44	58.493	16.044	11.378	14.937	10.699	65.761	37.787	54.938	59.418	16.572	11.585	15.928	13.147	70.128	25.068	54.345	59.498	16.197	11.636	14.778	13.709	14.639	14.603	13.524	18.06	5.145	16.458	12.19	11.449	14.86	14.19	14.434	2.515	15.0	10.802	10.736	12.355	9.54	15.389	1.905	13.413
27.50684	11.129	65.595	33.005	55.996	58.451	16.021	11.126	15.113	10.591	66.063	38.225	55.437	59.518	16.463	11.476	16.076	13.381	70.572	23.821	55.158	59.684	16.26	11.156	14.612	13.657	14.73	14.608	13.871	18.351	5.205	16.806	12.252	11.568	14.894	14.31	14.353	2.802	14.891	10.664	10.769	11.96	9.459	15.594	1.937	13.247
27.67355	11.093	65.51	33.31	56.269	58.89	15.98	11.151	15.161	10.666	65.918	38.237	55.994	59.528	16.622	11.699	16.035	13.114	69.826	24.368	55.056	59.921	16.163	11.551	14.631	13.619	14.777	14.738	13.834	18.194	5.209	16.651	12.501	11.591	14.941	14.584	14.459	2.526	14.797	10.715	10.736	12.069	9.456	15.61	1.884	13.296
27.84005	11.137	64.925	33.575	56.584	58.774	15.989	11.058	15.005	10.509	65.445	38.807	56.108	59.778	16.548	11.746	15.789	13.212	70.032	24.393	55.423	60.257	16.033	11.344	14.616	13.66	14.818	14.549	13.679	18.058	5.324	16.463	12.176	11.381	15.04	14.397	14.416	2.504	15.01	10.677	10.585	11.803	9.591	15.393	1.771	13.34
28.00682	11.321	65.026	33.31	56.866	59.317	16.093	11.236	15.275	11.008	65.463	39.376	56.506	60.154	16.765	12.04	15.949	13.142	69.485	24.254	55.995	60.633	15.964	11.551	14.489	13.533	14.606	14.653	13.92	18.194	5.437	16.509	12.387	11.761	14.742	14.498	14.231	2.612	14.939	10.602	10.821	12.012	9.627	15.781	1.799	13.012
28.17334	11.338	65.207	33.899	57.177	59.325	16.099	11.356	15.268	10.69	65.708	39.449	56.677	60.342	16.882	11.824	15.839	13.253	69.481	24.861	56.491	60.764	15.819	11.759	14.683	13.957	14.944	14.542	13.769	18.434	5.536	16.254	12.346	11.46	14.936	14.468	14.166	2.553	14.561	10.641	10.744	11.938	9.689	15.927	1.897	12.972
28.34016	11.225	65.029	34.535	57.421	59.449	16.147	11.049	15.494	10.772	65.469	39.815	56.891	60.175	16.988	11.656	15.86	13.192	69.238	24.663	56.413	60.654	16.043	11.593	14.509	13.583	14.741	14.278	13.711	18.335	5.64	16.019	12.205	11.492	15.047	14.406	14.336	2.466	14.559	10.56	10.75	12.113	9.896	15.52	1.687	13.001
28.50686	11.365	64.932	34.363	57.621	59.361	16.197	11.706	14.978	10.597	65.427	40.148	57.432	60.598	17.266	11.913	15.967	13.159	69.051	24.903	56.922	61.105	15.554	11.764	14.419	13.464	14.679	14.841	13.85	18.412	5.704	15.843	12.402	11.548	14.957	14.43	14.247	2.535	14.528	10.36	10.921	12.083	9.612	16.083	2.009	12.885
28.67354	11.442	64.926	34.985	57.791	59.808	16.43	11.48	15.252	11.068	65.359	40.52	57.627	61.036	17.33	11.457	15.833	13.173	68.608	24.483	56.967	61.259	15.795	12.219	14.55	13.452	14.836	14.735	13.813	18.355	5.64	16.082	12.226	11.631	15.002	14.5	13.981	2.627	14.348	10.359	10.751	12.024	9.702	15.892	1.861	13.048
28.84018	11.342	64.736	35.069	57.975	60.019	16.327	11.268	15.35	10.966	65.452	41.054	57.925	61.16	17.454	11.981	15.844	13.213	68.643	25.056	57.461	61.639	15.693	11.922	14.477	13.577	15.103	14.661	14.052	18.535	5.743	15.809	12.211	11.531	14.986	14.427	14.391	2.534	14.446	10.543	10.822	12.18	10.0	16.044	1.907	13.033
29.00684	11.192	64.942	35.392	58.118	60.248	16.351	11.173	15.598	10.931	65.688	41.837	58.039	61.221	17.648	12.171	15.839	13.235	68.313	25.087	57.777	61.785	15.574	11.344	14.839	13.713	15.097	14.741	13.846	18.532	6.069	15.804	12.402	11.551	15.348	14.165	13.987	2.715	14.438	10.364	10.841	12.256	10.047	15.897	2.091	13.025
29.17345	11.156	64.377	35.918	58.5	60.428	16.479	11.623	15.22	10.978	65.601	42.127	58.562	61.228	17.691	11.967	16.223	13.282	68.197	25.232	57.926	61.452	15.705	11.766	14.858	13.504	15.058	14.87	13.696	18.148	5.959	15.424	12.281	11.517	15.168	14.552	14.29	2.554	14.515	10.444	10.864	12.08	10.1	15.998	2.01	12.677
29.34013	11.331	64.364	36.07	58.542	60.33	16.598	11.514	15.055	10.955	65.334	42.251	58.463	61.499	17.896	11.887	16.002	13.004	68.468	25.268	58.027	62.034	15.711	11.487	14.523	13.68	15.319	14.819	13.985	18.097	5.962	15.26	12.116	11.493	14.748	14.217	14.012	2.783	14.152	10.449	10.812	12.482	9.934	16.259	2.098	12.711
29.50696	11.156	65.0	36.712	58.868	60.769	16.621	11.708	15.39	10.553	65.261	42.835	58.845	61.909	18.145	12.024	15.685	13.197	67.998	25.147	58.295	62.302	15.762	11.737	14.716	13.504	15.342	14.615	13.951	18.488	6.072	15.367	11.97	11.432	15.083	14.693	14.092	2.809	14.005	10.416	11.091	12.052	9.987	16.026	1.925	12.507
29.67349	11.432	64.355	36.667	58.841	60.771	16.985	11.727	15.355	11.0	65.638	43.76	59.045	61.97	18.113	11.901	15.85	13.162	67.894	26.227	58.611	62.449	15.869	11.614	14.823	13.696	15.336	14.752	13.745	18.456	6.228	15.39	12.075	11.451	14.849	14.517	14.283	2.65	14.167	10.293	11.025	12.44	9.92	16.447	1.91	12.612
29.84015	11.416	64.789	37.062	59.081	61.152	16.882	11.372	15.509	10.813	65.334	43.64	59.086	61.867	18.349	12.028	15.832	13.146	67.76	26.515	58.65	62.544	15.852	11.6	14.211	13.595	15.574	14.734	13.956	18.579	6.416	15.26	12.201	11.493	14.833	14.415	14.125	2.868	14.095	10.42	10.727	12.652	9.821	16.202	2.013	12.597
30.00698	11.311	64.754	37.39	59.193	61.007	16.858	11.524	15.204	10.962	64.985	44.727	59.396	62.202	18.58	11.867	15.667	13.067	67.637	26.087	58.816	62.766	15.774	11.582	14.53	13.743	15.211	14.853	13.964	18.554	6.344	15.266	12.125	11.644	15.293	14.365	14.189	2.942	13.876	10.26	11.077	12.207	9.888	16.15	1.829	12.407
30.17355	11.293	64.849	38.29	59.552	61.542	17.249	11.953	15.671	10.919	65.055	45.278	59.758	62.545	18.831	12.157	15.97	13.082	67.255	26.615	59.043	63.166	15.931	11.955	14.515	13.786	15.454	14.532	14.032	18.551	6.563	15.309	12.445	11.651	15.279	14.551	14.173	2.979	14.312	10.293	11.082	12.441	10.117	16.256	1.874	12.416
30.34029	11.602	64.582	38.397	59.578	61.622	17.411	11.982	15.525	10.972	65.128	45.349	59.783	62.537	18.822	12.525	16.02	13.02	67.299	26.822	59.292	63.158	15.897	12.182	14.823	13.753	15.676	14.667	13.717	18.712	6.625	15.219	12.075	11.338	15.19	14.574	13.943	2.735	14.11	10.264	10.827	12.525	9.92	16.532	2.024	12.3
30.50705	11.424	64.584	39.117	59.816	61.8	17.622	11.581	15.289	11.047	65.268	46.256	59.821	62.854	19.175	12.122	15.78	12.897	67.382	27.022	59.524	63.304	15.915	11.893	14.7	13.63	15.721	14.853	13.85	18.639	6.571	14.983	12.181	11.077	15.208	14.62	14.019	2.857	13.876	10.09	10.765	12.491	10.143	16.66	1.971	12.35
30.67357	11.512	64.566	39.238	59.819	61.948	17.66	11.807	15.86	11.165	65.026	46.698	60.165	63.174	19.496	12.123	15.929	13.242	67.055	26.9	59.56	63.624	16.034	11.525	14.988	13.747	15.755	14.746	13.995	18.79	6.764	15.356	11.985	11.531	15.269	14.738	14.136	2.902	14.02	10.345	10.964	12.35	10.199	16.526	1.822	12.21
30.84027	11.502	64.648	39.613	59.875	62.314	17.761	12.393	15.679	11.069	64.568	47.297	60.22	63.228	19.653	12.567	16.002	13.146	67.079	27.989	59.699	63.877	16.278	12.281	14.949	13.737	15.574	14.99	13.871	18.919	6.784	15.09	12.286	11.493	15.258	14.557	14.04	2.868	13.981	10.194	11.209	12.482	10.076	16.457	1.985	12.342
31.00698	11.233	64.894	39.901	60.089	62.331	17.95	11.556	15.979	11.255	65.128	47.958	60.435	63.587	19.786	12.667	16.076	13.389	67.327	27.787	59.887	63.924	16.38	11.784	14.88	13.753	15.534	14.894	14.086	18.797	7.023	15.106	12.075	11.508	15.416	14.829	14.283	2.82	14.082	10.208	11.28	12.44	10.374	17.043	1.939	12.612
31.17357	11.246	64.308	40.804	60.215	62.399	18.044	11.996	15.877	10.785	64.625	48.346	60.39	63.511	19.908	12.652	15.889	13.486	66.938	28.499	59.869	64.16	16.221	12.677	14.863	14.077	16.169	14.961	13.956	18.919	7.096	15.005	12.201	11.607	15.343	14.557	14.125	2.897	13.896	10.194	11.351	12.595	10.36	17.109	1.985	12.257
31.34029	11.545	64.327	41.149	60.372	62.672	18.233	11.698	15.78	11.0	64.532	48.752	60.549	63.473	20.126	12.327	16.076	13.474	66.334	28.694	60.001	64.434	16.38	12.352	14.908	14.008	15.846	14.809	13.887	18.853	7.023	14.936	12.387	11.706	15.53	14.517	14.368	2.905	13.94	10.264	11.224	12.61	10.26	17.298	1.74	12.3
31.50697	11.228	64.339	41.393	60.414	62.742	18.539	11.892	15.605	11.051	64.941	49.25	60.732	63.911	20.375	12.577	16.099	13.554	66.772	29.055	60.382	64.447	16.658	11.95	14.903	14.003	16.209	15.115	14.08	19.301	7.189	15.015	12.155	11.503	15.411	14.824	14.108	2.959	13.992	10.203	11.361	12.662	10.284	17.122	1.822	12.352
31.67356	11.244	63.99	42.249	60.544	62.929	18.757	11.651	15.649	10.67	65.075	50.225	61.004	64.044	20.679	12.677	16.117	13.57	66.991	29.108	60.542	64.636	16.731	12.049	15.004	14.19	15.943	14.906	14.068	19.235	7.2	15.117	12.17	11.376	15.598	14.926	14.152	3.138	13.95	10.132	11.489	12.592	10.269	17.14	2.031	12.395
31.84026	11.375	64.44	42.652	60.542	63.041	18.772	12.436	15.724	10.83	64.674	50.482	61.087	64.267	20.921	12.327	16.247	13.332	66.618	29.233	60.426	64.604	16.89	11.926	15.05	14.093	16.13	15.064	14.256	19.279	7.448	15.106	12.245	11.876	15.53	14.716	14.141	2.877	13.94	10.208	11.451	12.695	10.175	17.355	2.109	12.556
32.00698	11.533	64.318	43.254	60.729	63.456	19.104	11.655	15.655	10.761	65.091	51.118	61.133	64.343	21.026	12.937	16.208	13.349	66.383	29.628	60.643	65.163	17.021	11.94	14.925	14.138	16.289	14.912	14.243	19.298	7.545	15.122	12.146	11.466	15.632	14.931	14.072	3.056	14.012	10.279	11.664	12.625	10.302	17.373	2.119	12.486
32.17363	11.285	64.481	44.087	60.755	63.677	19.276	12.232	15.888	10.909	64.431	51.661	61.157	64.195	21.226	12.775	16.326	13.469	66.346	29.934	60.496	65.099	17.026	11.836	15.044	14.116	16.351	15.001	14.222	19.443	7.614	15.186	12.126	11.786	15.95	15.164	14.221	3.044	14.275	10.26	11.361	12.747	10.17	17.434	1.907	12.437
32.34034	11.373	64.435	44.299	60.872	63.685	19.515	12.346	16.091	10.942	64.869	52.308	61.475	64.631	21.493	12.862	16.447	13.161	66.5	30.383	60.76	65.109	17.373	12.461	15.333	14.206	16.471	14.867	14.112	19.396	7.581	15.304	12.497	11.901	15.614	15.198	14.309	2.919	14.307	10.061	11.759	12.72	10.397	17.329	1.871	12.638
32.50705	11.458	64.35	44.639	60.872	64.026	19.855	12.431	15.722	10.999	64.67	52.706	61.419	64.687	21.721	13.231	16.475	13.53	66.784	30.497	60.845	65.564	17.487	12.773	15.077	14.235	16.329	15.236	14.169	19.51	7.752	15.389	12.242	11.816	15.785	15.113	14.139	3.09	14.392	10.004	11.588	12.692	10.028	17.812	2.013	12.411
32.67378	11.321	64.196	45.503	60.858	63.786	19.862	11.953	15.756	10.862	64.374	53.259	61.349	64.703	21.926	12.896	16.453	13.451	66.261	30.846	61.088	65.75	17.55	12.863	15.083	14.411	16.676	15.242	14.373	19.602	7.5	15.338	12.076	11.793	15.875	15.033	14.315	2.979	14.312	10.293	11.65	12.697	9.975	17.647	1.931	12.501
32.84043	11.476	64.318	45.694	61.013	64.052	20.041	12.422	16.279	10.903	64.07	53.842	61.473	64.996	22.218	13.42	16.463	13.491	66.212	31.189	61.126	65.901	17.532	12.65	15.379	14.394	16.63	15.025	14.3	19.554	7.715	15.463	12.345	12.033	16.057	15.243	14.327	3.226	14.438	10.194	11.635	12.455	10.217	17.629	2.091	12.571
33.00713	11.471	64.132	46.307	60.913	64.178	20.261	11.793	15.905	11.011	64.451	54.056	61.628	65.15	22.438	13.131	16.627	13.315	66.196	30.953	61.053	65.884	18.434	12.617	15.316	14.36	16.539	15.303	14.437	19.576	7.796	15.486	12.255	11.688	15.881	15.323	14.237	3.053	14.461	10.047	11.574	12.932	10.269	17.537	2.173	12.651
33.17377	11.331	64.052	47.125	61.037	64.327	20.482	12.251	15.934	10.899	64.37	54.44	61.751	65.297	22.46	13.871	16.682	13.486	66.201	31.391	61.258	66.229	18.659	12.989	15.572	14.587	16.708	15.358	14.353	19.968	7.862	15.713	12.542	12.117	16.08	15.464	14.466	3.067	14.747	10.335	11.975	12.68	10.104	17.761	2.013	12.852
33.34045	11.249	63.949	47.568	61.013	64.449	20.637	12.649	16.166	10.846	64.155	54.892	61.814	65.28	22.842	13.675	16.662	13.661	65.73	31.501	61.182	66.468	18.923	12.849	15.35	14.621	16.999	15.536	14.385	19.979	7.971	15.577	12.43	12.033	16.228	15.329	14.299	3.141	15.148	10.108	11.72	13.108	10.274	17.827	2.034	12.826
33.50704	11.602	64.043	48.126	61.223	64.913	20.9	12.237	16.064	10.915	64.248	55.56	62.024	65.487	23.02	13.404	16.7	13.559	65.994	32.098	61.362	66.448	19.018	13.231	15.22	14.604	16.555	15.206	14.369	20.073	7.987	15.645	12.302	11.962	16.267	15.34	14.623	3.161	15.387	10.264	12.131	12.837	10.288	17.865	2.194	12.641
33.67369	11.857	63.958	48.523	61.138	64.799	21.041	12.776	16.348	11.34	64.078	55.872	61.882	65.487	23.275	13.83	16.956	13.417	65.852	32.155	61.192	66.249	19.074	13.344	15.22	14.689	16.811	15.518	14.454	20.158	7.987	15.815	12.302	11.763	16.267	15.396	14.396	3.558	15.472	10.038	11.819	12.752	10.26	18.149	1.995	12.783
33.84053	11.729	64.114	49.05	61.172	65.067	21.41	12.758	16.278	11.3	64.122	56.184	62.146	65.786	23.588	13.957	17.033	13.689	66.236	32.682	61.204	66.635	19.153	13.186	15.492	14.905	17.085	15.651	14.412	20.297	8.104	16.002	12.285	12.172	16.512	15.556	14.439	3.013	15.516	10.132	11.859	12.792	10.382	18.001	2.137	12.823
34.0073	11.628	63.896	49.296	61.127	65.162	21.474	12.971	16.631	10.999	64.187	56.766	61.873	65.937	23.85	13.97	17.185	13.672	65.819	33.251	61.214	66.87	19.531	13.086	15.532	14.831	17.011	15.548	14.623	20.39	8.092	16.326	12.611	12.128	16.495	15.794	14.593	3.147	15.471	10.203	12.071	12.862	10.539	18.067	2.013	12.893
34.17384	11.321	63.628	50.104	61.228	65.206	21.822	13.345	16.778	11.118	64.061	57.007	62.115	66.038	24.028	14.231	17.021	13.678	65.948	33.374	61.485	67.056	19.566	12.949	15.395	14.837	16.988	15.668	14.487	20.283	8.324	16.246	12.502	12.133	16.472	15.63	14.655	3.235	15.505	10.208	12.104	13.265	10.373	18.272	2.016	12.984
34.34046	11.334	63.925	50.435	61.29	65.503	21.85	12.673	16.653	11.162	63.849	57.208	62.096	66.225	24.286	14.102	17.382	13.666	66.248	33.448	61.612	67.017	19.674	13.841	15.753	15.025	17.121	15.802	14.445	20.678	8.271	16.463	12.543	12.372	16.632	15.989	14.784	3.173	15.549	10.246	12.059	13.021	10.495	18.636	2.244	13.082
34.5073	11.587	64.085	51.152	61.428	65.692	22.092	13.298	16.903	11.158	64.037	57.775	62.146	66.156	24.554	14.753	17.374	13.689	65.725	34.159	61.744	67.515	19.92	13.555	15.719	15.019	17.284	15.85	14.753	20.751	8.36	16.627	12.512	12.229	16.767	15.869	14.666	3.269	15.828	10.331	12.001	13.048	10.581	18.455	2.279	13.079
34.67386	11.649	63.878	51.68	61.466	65.884	22.463	13.073	16.915	11.309	64.06	58.178	62.245	66.608	24.729	14.533	17.363	13.615	65.747	34.501	61.764	67.343	20.025	13.616	15.815	15.259	17.356	15.981	14.648	20.804	8.467	16.896	12.573	12.289	16.894	16.11	14.845	3.218	15.838	10.274	12.146	13.422	10.21	18.533	2.236	13.113
34.84062	11.51	64.055	51.899	61.277	65.69	22.626	13.418	16.886	11.338	63.552	58.19	62.282	66.44	24.862	14.847	17.332	13.814	65.724	35.25	61.6	67.716	20.249	13.676	15.929	15.287	17.412	15.95	14.621	20.685	8.56	16.81	12.662	12.178	16.865	16.024	14.875	3.289	15.895	10.336	12.32	13.026	10.529	18.643	2.133	13.286
35.00716	11.706	64.02	52.393	61.437	66.311	23.061	13.528	17.085	11.309	64.06	58.605	62.444	66.693	25.27	14.932	17.647	13.615	65.292	35.128	61.878	67.656	20.452	13.701	16.157	15.43	17.527	16.066	14.876	21.061	8.723	17.124	12.687	12.232	17.008	16.139	15.101	3.389	16.009	10.217	12.26	13.109	10.438	18.903	2.236	13.312
35.17406	11.981	63.903	52.793	61.35	66.25	23.046	13.063	16.846	11.27	63.828	58.889	62.385	66.746	25.425	14.636	17.863	13.746	65.63	35.194	61.761	67.851	20.61	13.777	16.117	15.503	17.658	16.31	14.893	21.075	8.8	17.112	12.649	12.45	17.139	16.212	15.09	3.213	16.225	10.436	12.306	13.326	10.713	18.975	2.315	13.472
35.34053	11.649	63.935	53.247	61.352	66.197	23.26	13.5	17.057	11.566	63.262	59.089	62.444	66.864	25.555	15.245	17.989	13.928	65.577	35.726	61.935	68.083	20.766	14.299	15.815	15.487	17.613	15.924	14.733	21.004	8.723	17.324	12.687	12.631	17.093	16.31	15.187	3.389	16.265	10.303	12.26	12.966	10.609	18.789	2.094	13.454
35.50716	11.772	63.533	53.542	61.371	66.481	23.312	13.649	17.382	11.32	63.574	59.422	62.467	67.008	25.751	15.398	18.033	13.996	65.746	35.909	61.905	68.114	20.926	14.108	16.112	15.813	17.713	16.223	14.914	21.137	8.752	17.679	12.809	12.524	17.391	16.323	15.14	3.381	16.276	10.165	12.295	13.059	10.585	19.034	2.033	13.662
35.67398	11.803	63.6	54.138	61.404	66.664	23.472	13.851	17.388	11.525	63.414	59.511	62.56	67.192	26.083	15.317	17.957	14.116	65.415	36.283	61.829	68.1	21.109	14.282	16.232	15.934	17.921	16.261	14.947	21.436	9.12	17.544	12.84	12.612	17.484	16.388	15.315	3.256	16.596	10.194	12.411	13.204	10.67	18.931	2.226	13.894
35.84061	11.98	63.901	54.466	61.562	66.594	23.822	14.142	17.166	11.388	63.373	59.526	62.575	67.466	26.548	15.98	18.221	14.179	65.774	36.978	61.902	68.716	21.23	14.23	16.066	15.94	18.184	16.495	15.067	21.585	9.125	17.75	12.931	12.645	17.404	16.536	15.578	3.345	16.744	10.198	12.616	13.409	10.704	18.995	2.229	14.042
36.00739	11.91	63.435	54.908	61.465	67.1	24.016	13.9	17.526	11.547	63.792	59.829	62.593	67.316	26.886	15.368	18.326	14.111	65.594	36.923	62.151	68.681	21.422	14.732	16.312	16.187	18.06	16.6	15.055	21.549	9.252	17.997	13.032	12.404	17.451	16.555	15.509	3.411	16.79	10.356	12.631	13.453	10.889	19.529	2.411	14.058
36.17385	11.994	63.432	55.154	61.527	67.548	24.36	14.243	17.462	11.828	63.444	59.777	62.594	67.533	27.027	15.934	18.483	14.076	65.502	37.211	62.031	68.754	21.69	14.844	16.448	16.149	18.305	16.616	14.937	21.701	9.262	17.93	13.117	12.519	17.614	16.83	15.704	3.407	16.784	10.388	12.518	13.567	10.552	19.399	2.429	14.085
