	MG1655-1	HEXA1-1_1	HEXA2-9_1	HEXA4-10_1	HEXA6-9_1	mdtK-1	ompR-1	proQ-1	MG1655-2	HEXA1-1_2	HEXA2-9_2	HEXA4-10_2	HEXA6-9_2	mdtK-2	ompR-2	proQ-2	MG1655-3	HEXA1-1_3	HEXA2-9_3	HEXA4-10_3	HEXA6-9_3	mdtK-3	ompR-3	proQ-3	ptrA-1	mdtK_ompR-1	mdtK_proQ-1	mdtK_ptrA-1	ompR_ptrA-1	bioAB-1	ptrA-2	mdtK_ompR-2	mdtK_proQ-2	mdtK_ptrA-2	ompR_ptrA-2	bioAB-2	ptrA-3	mdtK_ompR-3	mdtK_proQ-3	mdtK_ptrA-3	ompR_ptrA-3	bioAB-3
38.67402	8.734	27.053	19.018	26.284	17.189	7.069	11.087	7.376	9.658	28.432	25.677	26.598	16.214	7.062	8.502	8.073	9.362	28.885	24.689	26.189	17.144	6.928	9.016	7.903	10.169	11.258	12.304	9.069	9.176	7.557	10.703	11.902	12.221	9.953	8.92	8.244	11.678	11.642	10.93	9.577	8.895	8.526
38.84076	8.249	27.321	19.028	26.206	17.253	7.219	10.659	7.381	9.405	28.268	26.204	26.952	16.364	6.605	8.594	7.847	9.542	28.75	25.274	26.198	17.064	7.278	9.281	8.139	9.945	11.609	12.223	9.333	8.69	7.85	10.853	12.081	12.226	9.554	8.55	8.306	10.01	11.503	11.109	9.467	9.016	8.328
39.00742	8.472	27.637	19.733	26.468	17.356	7.439	10.712	7.492	9.704	28.291	26.062	26.722	16.265	6.951	8.934	7.957	9.378	29.149	24.496	26.313	17.106	7.221	9.1	8.041	10.041	11.141	12.619	9.301	8.804	7.473	10.465	12.217	11.93	9.953	9.297	8.102	10.232	11.468	11.072	9.345	8.862	8.21
39.17406	8.314	27.374	19.534	26.347	17.604	7.456	10.871	7.564	9.494	27.972	25.826	26.574	16.398	6.992	8.574	8.058	9.514	29.176	25.674	26.424	16.952	7.002	8.856	7.914	10.177	11.588	12.289	9.372	8.672	7.717	10.829	11.685	12.523	9.449	9.08	8.288	10.046	11.397	10.828	9.908	9.08	7.964
39.34087	8.789	27.378	19.243	26.323	17.413	7.468	11.029	7.434	9.099	28.348	25.918	26.751	16.322	7.325	8.934	8.159	8.485	29.35	25.562	26.313	17.222	6.961	8.984	8.358	10.07	11.429	12.1	9.099	8.746	7.53	10.811	11.813	12.42	9.608	8.98	8.303	10.232	11.526	10.64	9.431	8.862	8.123
39.50754	8.587	27.458	19.358	26.582	17.55	7.377	10.918	7.669	9.026	28.421	26.463	26.921	16.573	7.163	8.794	8.278	9.33	29.395	25.068	26.051	17.239	7.55	9.215	8.209	10.08	11.545	12.446	9.164	8.584	7.481	10.745	12.273	12.046	9.47	9.19	8.571	10.318	11.672	10.584	9.749	8.801	8.16
39.67414	8.197	27.842	19.298	26.674	17.568	7.192	11.245	7.852	9.108	28.58	26.153	26.986	16.65	7.053	8.92	8.26	8.723	29.064	25.134	26.03	17.088	7.583	9.228	8.514	10.02	11.644	11.97	9.201	8.877	7.776	10.217	12.057	12.318	10.17	9.053	8.434	10.389	12.058	10.769	10.021	9.047	8.283
39.84085	8.213	27.81	19.733	26.381	17.903	7.727	10.481	7.693	8.869	28.464	26.408	26.982	16.639	6.893	8.56	8.332	9.292	29.494	25.995	26.515	17.567	7.422	9.445	8.33	10.3	11.573	12.533	9.272	8.832	7.703	10.581	12.389	12.68	9.694	9.384	8.649	10.578	11.987	10.525	9.431	9.409	8.411
40.00736	8.372	27.749	20.169	26.722	17.633	7.11	10.496	7.737	8.629	28.404	26.288	26.689	16.773	6.819	8.603	8.174	8.678	29.637	25.501	26.223	17.76	7.579	9.0	8.116	10.235	11.329	12.029	9.055	8.932	7.659	10.858	11.829	12.811	9.622	9.138	8.317	10.133	11.973	10.396	9.879	9.138	8.339
40.1741	8.346	27.937	19.626	26.682	17.891	7.629	11.192	8.116	8.769	28.417	26.507	26.994	16.57	7.288	8.665	8.322	8.759	29.39	26.151	26.47	17.267	7.472	9.176	8.664	9.883	11.562	12.58	9.205	8.91	7.55	10.799	11.975	12.698	9.627	9.058	8.813	10.452	11.544	11.148	9.508	8.707	8.662
40.34091	7.726	27.652	20.4	26.514	18.046	7.785	11.12	8.475	8.893	28.677	26.425	27.056	16.609	7.505	8.449	8.682	8.911	29.305	25.693	26.388	17.939	7.575	8.987	8.33	10.179	11.461	12.247	9.364	8.811	8.055	11.242	12.046	12.739	9.354	9.361	8.281	10.004	11.616	10.874	10.011	9.266	8.273
40.50751	7.911	27.98	20.313	26.491	18.008	7.485	10.64	8.285	8.629	28.664	26.259	26.92	16.917	7.713	8.574	8.808	8.274	29.176	25.732	26.626	17.933	7.435	9.288	8.952	10.408	11.531	12.635	9.574	8.845	7.976	11.089	12.175	12.378	9.535	9.138	8.663	10.594	12.204	11.001	9.62	8.993	8.31
40.67424	8.164	28.065	19.9	26.571	18.126	7.831	10.746	8.19	9.041	28.813	26.195	27.348	16.747	7.294	8.912	8.916	8.313	29.613	26.885	26.796	17.795	7.389	8.995	8.838	10.16	11.987	12.572	9.679	8.773	7.762	10.745	12.402	12.691	9.582	9.298	8.506	10.388	12.256	11.227	9.758	8.933	8.356
40.84088	7.868	27.919	19.739	26.544	18.17	7.473	10.914	8.097	8.648	29.124	26.312	27.608	16.964	7.495	8.618	8.535	8.439	29.405	24.805	26.738	18.038	7.418	9.275	8.393	10.169	11.719	12.189	9.473	9.032	7.99	10.588	12.335	12.192	9.751	9.44	8.561	10.812	12.018	11.017	9.837	9.01	8.785
41.00754	7.931	28.043	20.356	27.072	18.003	7.623	10.832	8.218	8.539	28.672	27.041	27.299	16.883	7.413	8.507	8.799	8.388	29.327	25.419	26.919	17.929	7.278	8.877	8.745	10.003	11.811	12.281	9.506	9.267	8.254	10.767	11.994	12.486	9.669	9.185	8.652	10.356	11.907	10.907	9.929	9.102	8.617
41.17424	7.629	28.357	19.868	27.009	18.137	7.987	10.905	8.204	8.819	28.844	26.979	27.323	17.162	7.253	8.781	8.843	8.813	29.788	25.733	26.742	17.978	7.781	9.21	9.023	10.63	11.625	12.903	9.578	8.962	8.124	11.16	12.559	12.733	9.915	9.429	8.261	10.603	12.442	11.095	10.031	9.177	8.428
41.34098	8.064	28.323	20.192	27.0	18.173	8.021	11.223	8.262	8.974	29.246	26.942	27.315	17.112	7.568	8.464	8.613	8.507	29.987	25.928	27.081	18.161	7.807	9.328	8.769	10.788	11.742	13.05	9.866	9.133	8.064	10.908	12.736	12.881	9.943	9.543	8.809	10.462	12.04	10.982	9.513	9.586	8.543
41.50756	8.047	28.591	20.442	27.245	18.436	7.796	10.89	8.477	8.886	29.047	26.839	27.443	17.201	7.615	8.594	9.203	9.081	29.645	26.718	27.237	18.045	7.538	9.136	9.092	10.436	12.388	12.916	9.506	9.209	8.168	10.853	12.716	12.659	10.333	9.531	8.941	10.443	12.254	10.762	9.929	8.842	8.934
41.67434	7.512	28.392	20.497	27.134	18.533	8.125	11.077	8.376	9.126	28.846	26.469	27.764	17.211	7.487	8.666	8.986	8.714	29.877	25.567	26.952	18.314	7.67	9.005	8.958	10.155	11.968	13.217	9.55	9.282	8.183	10.951	12.786	12.903	9.944	9.661	8.639	10.888	12.382	10.891	10.173	9.316	8.689
41.84086	7.651	28.037	20.889	26.809	18.325	7.687	10.871	8.688	8.686	29.039	26.98	27.669	17.292	7.482	8.43	8.952	8.188	29.262	25.645	27.549	18.134	7.896	9.49	9.212	10.782	11.848	12.375	9.488	9.364	7.89	11.118	12.694	13.042	9.737	9.599	8.721	11.171	12.06	10.915	10.341	9.743	8.483
42.0075	7.671	28.505	20.269	26.898	18.378	7.969	10.977	8.939	8.828	28.989	27.359	28.02	17.345	7.557	9.084	9.348	8.994	30.106	25.794	27.179	18.218	7.884	9.598	8.832	10.551	11.609	12.887	9.564	9.642	8.081	10.853	12.773	12.63	9.641	9.589	9.085	10.904	12.34	11.282	9.929	9.247	8.501
42.17432	7.929	28.424	20.551	27.196	18.63	7.906	11.063	8.534	8.616	29.366	27.482	27.653	17.712	7.387	8.68	9.086	8.52	30.368	25.398	27.042	18.266	8.032	9.537	9.056	10.941	12.356	13.287	9.623	9.384	8.054	11.106	12.77	13.117	9.641	9.936	8.711	10.872	12.222	11.394	10.071	9.155	8.589
42.34093	7.352	28.775	20.486	27.061	18.737	7.9	10.947	8.504	8.98	29.714	27.029	27.603	17.588	7.851	8.823	9.027	8.451	29.795	26.125	27.309	18.486	7.747	9.419	8.934	10.294	11.921	12.938	10.026	9.156	8.4	11.357	12.564	12.998	10.016	9.707	8.972	10.868	12.364	11.449	10.039	9.007	8.648
42.50765	7.569	28.427	20.979	27.46	18.698	7.745	11.134	8.778	9.172	29.31	26.795	27.685	17.52	7.691	8.838	9.215	8.759	29.476	25.805	27.277	18.275	7.76	9.32	9.038	10.488	12.023	12.868	9.378	9.342	8.069	11.375	12.724	12.87	10.03	9.836	8.871	11.057	11.89	11.12	9.969	9.83	9.036
42.67432	8.029	28.311	20.749	27.114	18.755	8.177	11.394	9.038	9.172	29.31	26.679	27.887	17.808	7.835	9.126	9.791	8.845	29.908	26.064	27.593	18.534	7.846	9.32	9.297	10.632	12.455	13.098	9.551	9.429	8.386	11.174	12.84	12.784	9.915	9.836	9.332	10.769	12.466	11.148	9.853	9.628	8.719
42.84103	8.04	28.588	20.482	27.563	18.797	8.188	11.202	8.817	9.272	29.184	26.148	27.99	17.994	7.613	8.761	9.168	8.773	29.754	25.908	27.351	18.605	8.056	9.388	9.511	10.329	12.351	13.743	9.791	9.639	8.251	11.186	12.678	13.342	9.925	9.73	9.139	10.895	12.131	11.476	10.123	9.582	8.325
43.00767	7.85	28.424	21.019	27.345	18.626	7.848	11.474	8.916	9.385	29.446	27.888	27.973	17.995	7.172	8.833	9.208	8.999	30.017	26.408	27.189	18.632	7.817	9.657	9.371	10.525	12.332	12.888	9.921	9.11	8.468	11.102	13.118	12.373	9.882	9.947	8.753	10.846	13.034	11.285	10.45	9.704	8.716
43.17429	7.843	28.597	21.127	27.657	18.774	7.906	11.409	8.765	9.365	29.193	26.877	27.999	17.798	7.762	8.766	9.49	8.78	29.878	26.522	27.532	18.554	8.118	9.566	9.431	10.768	12.183	13.287	9.392	9.471	8.486	11.25	13.461	12.887	10.102	9.821	8.567	11.333	12.309	11.077	10.157	9.934	8.647
43.34106	7.564	28.965	20.681	27.337	19.037	7.883	11.475	9.205	9.079	29.243	27.391	27.533	18.119	7.773	9.294	9.325	9.011	30.072	25.941	27.671	18.844	7.929	9.458	9.407	10.711	12.421	12.661	9.892	9.453	8.151	11.628	12.92	13.182	10.458	10.061	8.981	10.879	12.691	11.23	10.223	9.795	8.945
43.50769	8.158	28.775	20.889	27.551	18.852	7.958	11.206	8.936	9.239	29.742	27.288	28.121	18.049	7.822	9.198	9.142	9.372	29.996	25.751	27.51	18.831	7.863	9.592	9.222	10.87	12.411	12.823	10.142	9.444	8.487	11.357	13.053	13.085	10.246	9.908	8.972	11.127	12.508	11.277	10.097	9.467	9.051
43.67429	7.885	28.801	20.749	27.633	18.928	8.119	11.682	9.038	9.259	29.684	27.659	28.118	18.039	7.691	8.953	9.302	9.047	30.024	26.122	27.766	19.11	8.019	9.55	9.384	10.632	12.196	13.79	9.897	9.774	8.818	11.087	12.926	12.87	9.944	10.008	9.159	11.23	12.697	11.321	10.401	9.542	8.633
43.84105	8.275	28.51	20.753	27.83	19.149	7.935	11.899	9.053	9.365	29.885	26.617	27.883	18.087	7.762	9.054	9.663	9.587	30.195	26.234	27.475	18.727	7.945	9.912	9.69	10.941	12.356	13.374	9.824	9.788	8.515	11.509	13.26	13.867	9.872	10.195	9.086	11.477	12.712	11.654	10.157	9.732	9.165
44.00783	7.767	28.845	21.12	27.674	19.305	8.206	11.534	8.89	9.321	29.442	27.239	28.333	18.157	7.771	9.555	9.673	9.168	30.156	26.366	27.491	18.999	7.983	9.548	9.587	10.927	12.309	13.24	9.747	9.826	8.957	11.204	12.925	13.705	10.4	9.859	8.98	11.575	13.069	11.232	10.831	10.089	8.656
44.17434	8.087	28.599	20.432	27.46	19.188	8.004	11.192	9.412	9.201	29.742	27.774	27.974	18.068	8.008	8.838	9.59	9.393	30.196	25.43	27.853	18.937	8.192	9.694	9.845	10.718	12.715	13.905	9.781	9.458	8.328	11.663	13.243	13.274	9.915	9.807	9.13	10.769	12.812	11.552	10.545	9.628	8.95
44.3411	8.04	28.79	20.396	27.563	19.229	8.102	11.432	9.394	9.272	30.049	27.214	28.077	18.34	7.757	9.222	9.427	9.58	30.042	25.879	27.783	19.124	8.056	9.618	9.598	10.646	12.812	13.311	9.964	9.611	8.337	11.589	13.081	13.861	10.04	10.191	8.966	12.394	13.139	11.043	10.382	9.985	9.247
44.50775	8.346	28.657	20.749	28.007	19.389	8.061	11.653	9.038	9.259	29.598	27.227	28.031	18.269	7.605	9.357	9.763	9.278	30.341	26.151	27.622	19.312	7.818	10.069	9.816	11.15	12.686	13.127	9.724	9.63	8.645	11.087	13.012	13.36	10.434	9.98	9.159	11.201	12.783	10.975	10.631	9.715	8.978
44.6745	7.64	28.948	20.688	27.81	19.313	8.044	12.041	9.281	9.239	29.915	27.576	27.862	18.308	7.851	9.342	9.661	8.854	30.601	26.384	27.77	19.205	7.949	9.937	9.654	10.956	12.67	13.284	10.113	9.876	8.544	11.53	13.572	13.488	10.505	10.397	8.713	11.041	13.228	11.507	10.557	9.813	8.82
44.84113	8.026	28.787	20.861	27.674	19.219	8.119	11.332	9.063	9.667	29.615	28.393	27.987	18.532	8.059	9.497	9.961	9.428	30.387	25.674	27.549	19.086	7.867	9.836	9.76	10.609	13.001	13.673	10.151	9.826	8.495	11.666	13.876	13.474	10.371	10.262	8.922	11.517	13.011	11.578	11.004	10.003	9.146
45.00776	8.082	28.792	21.314	28.057	19.556	8.113	11.475	9.407	9.454	29.675	27.679	28.138	18.436	8.292	9.812	10.045	9.299	30.36	26.027	28.075	19.219	7.929	9.718	9.493	10.826	13.055	13.179	10.151	9.799	8.813	11.888	13.756	13.844	10.602	10.148	8.953	11.484	12.807	11.719	10.77	9.882	8.887
45.17445	8.375	29.118	21.095	27.834	19.735	7.889	11.682	9.153	9.633	30.059	27.198	27.974	18.586	8.037	9.558	9.59	9.22	31.003	26.208	28.429	19.053	8.192	9.867	9.816	11.15	12.801	13.3	9.983	9.89	8.731	11.836	13.156	14.052	10.434	10.844	9.245	11.662	13.244	11.868	10.689	9.888	9.209
45.34121	8.456	28.562	20.911	27.884	19.728	8.257	11.648	9.321	9.54	29.3	26.499	28.109	18.407	7.687	9.582	9.671	9.299	30.187	25.71	27.844	19.363	8.188	10.121	9.723	10.625	12.681	13.352	10.151	9.972	8.727	12.003	13.842	13.239	10.515	10.148	9.125	11.743	13.123	11.114	10.568	10.055	9.147
45.50779	8.362	29.173	20.925	28.291	19.581	7.992	11.697	9.399	9.711	29.683	27.309	28.46	18.519	7.935	9.285	10.124	9.644	30.368	25.801	27.907	19.707	7.974	10.431	9.921	11.201	12.529	13.921	10.43	9.961	8.745	12.287	13.288	13.521	10.189	10.512	9.144	11.736	13.347	11.798	10.878	10.107	8.906
45.67461	8.446	29.12	21.408	28.04	19.629	7.958	11.667	9.281	9.527	29.829	27.202	27.948	18.682	8.196	9.514	9.948	9.717	30.428	25.866	28.144	19.465	8.208	9.88	9.97	11.474	12.67	12.996	10.142	9.962	8.919	11.962	13.687	13.401	10.678	10.599	9.145	11.818	13.372	11.046	10.701	9.986	8.792
45.84122	8.417	29.188	21.095	27.785	19.613	8.396	11.722	9.482	9.399	30.019	27.466	28.358	18.638	7.986	9.425	9.718	9.593	30.241	25.959	28.382	19.539	8.428	9.997	10.24	11.323	12.845	13.228	10.252	10.099	8.509	11.973	13.403	13.635	10.588	10.219	9.369	11.764	13.778	11.738	10.905	10.222	9.103
46.00796	8.401	29.018	20.861	27.789	19.594	8.119	11.793	9.409	9.811	29.789	26.98	28.275	18.82	8.117	9.237	9.961	9.687	30.589	25.847	28.53	19.49	8.127	10.153	10.192	11.1	13.318	13.298	10.353	9.999	8.697	12.3	13.472	13.445	10.631	10.291	9.268	11.776	13.329	12.068	11.148	10.089	8.858
46.17452	8.55	29.43	20.9	27.797	19.802	8.125	11.856	9.559	9.472	30.115	27.42	28.428	18.74	7.977	9.588	9.765	9.839	30.425	26.173	28.365	19.439	8.045	10.072	10.199	11.309	13.093	13.996	10.358	9.571	9.394	12.018	14.17	13.624	10.578	10.786	9.1	12.244	14.026	11.641	10.923	10.124	8.574
46.34127	8.477	29.519	20.753	28.205	19.696	8.194	12.244	9.629	9.625	29.972	26.733	28.143	18.865	8.223	9.458	10.326	9.817	30.311	25.888	28.282	19.505	8.032	9.998	10.007	11.604	12.558	13.748	10.084	9.99	8.745	12.201	13.98	13.78	10.477	10.455	9.432	11.823	13.26	11.74	10.964	10.279	9.252
46.50796	8.632	29.248	21.38	28.135	19.623	8.292	12.053	9.553	10.042	30.163	27.585	28.361	18.878	7.857	10.016	9.788	9.918	30.387	25.933	28.443	19.951	8.329	10.182	10.308	11.215	13.405	13.759	10.18	10.345	8.409	11.954	14.165	13.82	10.804	10.464	9.095	12.411	13.502	12.068	11.09	10.089	9.233
46.67463	8.663	29.475	20.955	27.925	19.921	8.067	11.795	9.902	9.707	30.076	26.885	28.585	19.003	7.97	9.614	10.166	9.441	30.385	25.897	28.322	19.761	8.066	10.533	10.46	11.576	13.265	13.677	10.44	9.911	9.072	11.992	14.113	13.767	10.314	10.464	9.21	12.041	12.87	11.783	10.921	10.644	9.377
46.84128	8.275	29.519	20.868	28.291	19.783	8.021	11.754	9.773	9.797	30.0	26.79	28.345	18.778	7.964	9.746	9.807	9.99	30.829	26.061	28.195	19.563	8.147	10.402	10.18	11.604	13.769	13.806	10.401	9.874	8.399	11.999	13.807	13.29	10.881	10.801	8.971	12.082	13.837	12.144	11.166	10.02	9.05
47.00799	8.954	29.43	20.612	28.172	19.773	8.212	11.914	9.328	9.904	29.971	27.334	28.37	19.0	8.035	9.762	10.226	9.781	30.915	25.394	28.567	19.814	8.247	10.101	10.516	12.145	13.353	13.823	10.502	9.802	8.673	12.191	13.709	13.797	10.809	10.7	9.158	11.984	13.824	11.814	11.355	10.355	9.237
47.17461	8.763	29.217	20.922	28.333	19.988	8.396	11.982	9.829	9.601	30.48	27.437	28.589	19.157	8.217	9.599	10.237	10.055	31.136	26.103	28.671	19.827	8.313	10.17	10.297	11.467	13.537	13.776	10.338	10.099	8.711	12.492	14.066	13.548	10.588	10.709	9.34	12.342	13.951	11.854	11.164	10.453	9.333
47.34126	8.755	29.57	20.763	28.28	20.072	8.333	11.829	9.907	10.783	30.056	27.037	28.681	19.125	7.917	9.619	10.114	9.997	30.914	25.79	28.879	19.826	8.099	10.654	10.438	11.612	13.646	13.942	10.358	10.291	8.788	12.229	14.032	13.599	10.666	10.729	9.561	12.22	13.886	12.308	11.562	10.707	9.122
47.50804	9.23	29.544	20.789	28.341	19.966	8.229	11.929	9.574	9.982	30.057	26.608	28.511	19.077	8.25	9.892	10.271	9.773	30.539	25.159	28.593	19.719	8.317	10.377	10.39	11.763	13.543	13.781	10.776	10.248	9.235	11.95	14.245	13.669	11.199	10.801	9.518	12.694	14.043	12.436	11.199	10.372	9.252
47.67463	8.766	29.415	21.392	28.556	20.229	8.345	11.579	9.774	9.872	30.335	26.967	28.409	19.196	7.81	9.658	10.095	9.838	30.99	25.663	28.434	19.955	8.425	10.203	10.335	11.424	13.628	13.636	10.83	10.473	9.231	12.068	14.448	13.957	10.849	10.392	9.368	11.885	14.418	12.146	11.313	10.401	9.102
47.84132	8.608	29.557	21.078	28.119	19.96	8.16	12.028	9.529	10.008	30.133	27.454	28.723	19.303	8.112	9.731	10.053	9.859	31.047	26.295	28.836	19.976	8.467	10.219	10.498	11.822	12.98	14.404	10.642	10.112	8.667	12.983	14.407	14.032	10.979	10.579	9.642	12.393	14.406	12.48	11.589	10.534	9.405
48.00809	8.849	29.621	20.835	28.766	20.161	8.339	11.78	9.713	10.293	30.192	26.658	28.733	19.186	8.043	9.512	9.92	9.882	30.847	25.699	28.642	20.174	8.486	10.199	10.932	11.9	13.797	14.036	10.54	10.359	8.884	13.358	14.24	14.097	11.598	10.738	9.369	12.255	14.297	12.46	11.511	10.568	9.535
48.17461	9.169	29.519	20.753	28.147	20.013	8.136	12.302	10.235	10.172	30.0	26.963	28.95	19.412	8.108	9.689	10.239	10.278	30.974	25.974	28.887	20.053	8.205	10.69	10.468	12.123	13.855	13.72	10.776	10.48	8.861	12.979	14.47	13.55	11.054	10.945	9.346	12.428	14.24	12.432	11.598	10.654	9.483
48.34135	8.855	29.63	20.644	28.197	20.254	8.489	12.333	9.892	9.838	30.576	26.695	28.828	19.192	7.817	9.719	10.502	9.773	30.943	25.246	28.564	19.978	8.259	10.348	10.448	11.994	13.774	13.868	10.603	10.594	8.514	12.729	14.765	14.16	11.026	10.801	9.547	12.607	14.216	12.378	11.372	10.141	9.858
48.50806	9.035	29.594	20.861	28.395	20.257	8.321	11.88	10.015	10.272	30.452	27.008	28.333	19.224	8.232	9.872	10.682	10.033	30.502	25.818	28.558	19.778	8.415	10.615	10.827	11.907	13.52	14.192	10.497	10.143	9.13	13.079	14.136	13.532	11.006	10.695	9.413	12.497	14.453	12.587	11.436	10.435	9.607
48.67466	8.702	29.625	20.396	28.456	20.382	8.304	12.038	10.575	10.338	30.25	26.811	29.201	19.435	8.478	9.741	10.493	9.753	30.993	25.303	28.446	20.19	8.546	10.483	10.75	12.202	13.821	14.752	10.944	10.763	8.942	12.944	14.724	13.947	11.308	10.709	9.6	12.912	14.148	12.311	11.477	10.533	9.564
48.84136	9.111	29.577	20.637	28.464	20.244	8.482	12.389	10.436	9.913	30.606	27.05	28.719	19.412	7.762	9.746	10.47	10.019	30.974	25.801	28.945	20.312	8.291	10.229	10.728	12.152	13.567	14.267	10.862	10.307	8.861	13.066	14.384	14.645	11.226	10.772	9.403	13.034	14.845	12.403	11.425	10.597	9.483
49.00807	8.849	29.679	21.095	28.679	20.507	8.252	12.357	10.348	10.466	30.48	26.687	28.675	19.619	8.332	10.205	10.612	9.853	31.338	25.497	28.411	20.347	8.226	10.516	10.759	12.448	14.489	14.642	11.06	10.763	9.288	13.329	14.73	14.097	11.338	10.738	9.802	13.265	14.384	12.373	11.626	10.972	9.68
49.17469	9.472	29.706	20.926	28.474	20.643	8.587	12.17	10.48	10.602	30.307	26.625	28.788	19.494	8.057	10.162	10.83	10.249	31.078	25.811	28.957	20.454	8.239	10.533	10.691	12.038	13.987	14.457	10.901	10.69	8.985	13.118	14.863	14.518	11.354	11.013	9.643	12.907	14.487	12.909	12.047	10.817	9.896
49.34137	8.731	29.568	20.943	28.542	20.497	8.448	12.297	10.633	10.252	30.769	27.416	28.941	19.579	7.873	10.029	10.839	10.07	31.252	25.966	28.705	20.305	8.028	10.598	10.549	12.49	14.368	14.607	10.771	10.331	9.288	12.454	14.983	14.034	11.481	11.199	9.687	12.826	14.35	12.513	11.766	10.908	9.42
49.5081	8.981	29.677	21.128	28.618	20.556	8.356	11.997	10.278	10.429	30.682	26.711	28.961	19.581	8.143	10.162	10.628	10.163	30.904	25.609	28.841	20.281	8.412	10.764	10.894	12.298	13.987	14.485	11.161	10.892	9.043	13.435	15.354	14.171	11.382	11.128	9.614	12.965	15.122	12.563	11.787	10.817	9.55
49.67477	8.708	29.617	20.669	28.903	20.662	8.518	12.677	10.149	10.421	30.624	26.996	29.131	19.745	8.33	10.178	11.164	9.838	31.221	25.634	29.07	20.533	8.079	10.867	10.913	12.551	14.697	14.387	10.974	10.704	9.259	13.368	15.228	14.477	11.629	11.23	9.744	13.069	14.562	12.55	11.746	10.979	9.709
49.84136	9.369	30.025	20.633	28.535	20.709	8.31	12.184	10.752	10.755	30.567	26.658	29.166	19.705	8.245	10.407	10.958	10.401	31.309	26.045	29.075	20.404	8.486	10.833	11.019	12.333	14.028	14.44	11.377	10.878	9.231	13.675	15.105	13.981	11.367	11.229	10.033	13.265	15.047	12.286	12.203	11.203	10.113
50.00804	9.057	30.005	20.558	28.515	20.716	8.662	12.564	10.469	10.242	30.721	26.06	28.568	19.539	8.25	9.95	10.617	10.206	30.712	25.794	28.939	20.411	8.577	10.637	10.967	12.456	14.466	14.272	11.065	10.71	9.12	13.162	15.025	14.275	11.603	11.234	9.864	12.982	14.966	12.552	12.064	10.978	9.685
50.17479	9.358	29.892	20.785	28.605	20.754	8.154	12.173	10.51	10.625	30.259	27.161	28.803	19.605	8.41	10.483	10.803	10.04	31.002	26.0	28.625	20.592	8.477	10.88	11.093	12.578	14.362	14.515	11.136	10.58	9.74	13.316	15.497	14.23	11.674	10.873	10.109	13.282	14.776	12.766	11.874	10.874	10.305
50.34142	9.051	29.737	20.922	28.91	20.536	8.512	12.559	10.608	10.495	30.567	27.177	29.281	19.792	8.303	10.378	10.727	9.968	31.771	25.93	28.844	20.318	8.659	10.92	11.192	12.506	14.143	14.613	11.06	10.763	9.231	13.762	15.249	14.616	11.944	11.806	10.061	13.149	14.614	12.892	12.203	11.232	9.853
50.50814	8.944	30.146	20.709	28.68	20.842	8.698	12.595	10.472	10.428	30.605	26.513	29.053	19.752	8.45	10.183	10.91	10.249	31.0	26.018	29.165	20.8	8.863	10.959	11.092	12.501	14.241	14.595	11.008	10.969	9.582	13.057	15.32	14.454	11.894	11.09	9.806	13.48	14.914	12.903	12.185	11.274	10.176
