,strain,compound,slope,replicate
1116,ypjA_mprA,coumarate,0.4689065382234288,ypjA_mprA-1
1117,mprA_yhjK,coumarate,0.4843333515333574,mprA_yhjK-1
1118,nadR_mprA_yhjK,coumarate,0.6360917475864302,nadR_mprA_yhjK-1
1120,acrB,"1,2-propanediol",0.3049215148907356,acrB-2
1121,metJ_relA_yeaR,"1,2-propanediol",0.2304438735743338,metJ_relA_yeaR-1
1122,metJ_relA_clsA,"1,2-propanediol",0.1161488939863755,metJ_relA_clsA-3
1123,metJ_relA_acrB,"1,2-propanediol",0.121521733925085,metJ_relA_acrB-3
1124,metJ_relA_purT,"1,2-propanediol",0.0,metJ_relA_purT-2
1125,metJ,"1,2-propanediol",0.3617804320877009,metJ-3
1127,metJ_relA_rnb,"1,2-propanediol",0.2280485974562437,metJ_relA_rnb-2
1128,metJ_relA_rnb,"1,2-propanediol",0.2208434530284097,metJ_relA_rnb-1
1129,metJ_relA_clsA,"1,2-propanediol",0.1413757519557613,metJ_relA_clsA-1
1130,acrB,"1,2-propanediol",0.0,acrB-1
1131,MG1655,"1,2-propanediol",0.0,MG1655-2
1132,metJ_relA_yeaR,"1,2-propanediol",0.2082761070115751,metJ_relA_yeaR-2
1133,metJ_relA_acrB,"1,2-propanediol",0.1039735335953627,metJ_relA_acrB-1
1134,metJ_relA_treA,"1,2-propanediol",0.2616443873047906,metJ_relA_treA-1
1135,metJ_acrB,"1,2-propanediol",0.3439078627046651,metJ_acrB-1
1136,metJ_relA_clsA,"1,2-propanediol",0.143602829401012,metJ_relA_clsA-2
1137,metJ_acrB,"1,2-propanediol",0.3665897731598256,metJ_acrB-2
1140,metJ_relA_purT,"1,2-propanediol",0.2643620304770835,metJ_relA_purT-1
1141,metJ_relA_treR,"1,2-propanediol",0.1238165878931552,metJ_relA_treR-3
1142,metJ_relA_treR,"1,2-propanediol",0.246729107495036,metJ_relA_treR-1
1146,metJ,"1,2-propanediol",0.3638413908212331,metJ-1
1147,metJ_relA_treA,"1,2-propanediol",0.1994173596242553,metJ_relA_treA-2
1152,acrB,"1,2-propanediol",0.3267702888248851,acrB-3
1153,metJ_relA_acrB,"1,2-propanediol",0.237134507804503,metJ_relA_acrB-2
1155,metJ_acrB,"1,2-propanediol",0.3544927564411522,metJ_acrB-3
1156,metJ_relA_rnb,"1,2-propanediol",0.162273993001827,metJ_relA_rnb-3
1157,metJ,"1,2-propanediol",0.382866451442542,metJ-2
1158,MG1655,"1,2-propanediol",0.0,MG1655-3
1159,metJ_relA_treA,"1,2-propanediol",0.1569316752736821,metJ_relA_treA-3
1160,MG1655,"1,2-propanediol",0.0,MG1655-1
1161,metJ_relA_treR,"1,2-propanediol",0.1828684632981575,metJ_relA_treR-2
1162,metJ_relA_yeaR,"1,2-propanediol",0.0968082106866969,metJ_relA_yeaR-3
1163,metJ_relA_purT,"1,2-propanediol",0.3264725232912125,metJ_relA_purT-3
1165,proV_ptsP,HMDA,0.2068356587151875,proV_ptsP-2
1166,proV_ptsP,HMDA,0.225549565447244,proV_ptsP-1
1167,proV_nagC,HMDA,0.1295472875023993,proV_nagC-1
1168,MG1655,HMDA,0.1032756407621868,MG1655-2
1170,proV_wbbK,HMDA,0.0455917551885111,proV_wbbK-3
1174,wbbK,HMDA,0.122112618826719,wbbK-1
1175,proV_ptsP_wbbK,HMDA,0.2664796474103522,proV_ptsP_wbbK-1
1176,ptsP,HMDA,0.2098351962218383,ptsP-2
1177,proV_ptsP_nagC,HMDA,0.2970370729346172,proV_ptsP_nagC-1
1180,proV,HMDA,0.2033864836451095,proV-1
1181,wbbK,HMDA,0.1302901918520508,wbbK-3
1182,proV_wbbK,HMDA,0.187447321128829,proV_wbbK-1
1184,proV_ptsP_wbbK,HMDA,0.2336414012077345,proV_ptsP_wbbK-2
1187,proV,HMDA,0.2101982264773658,proV-2
1188,proV_nagC,HMDA,0.0,proV_nagC-3
1190,ptsP,HMDA,0.2090707093952236,ptsP-3
1191,wbbK,HMDA,0.131496384790651,wbbK-2
1192,proV_nagC,HMDA,0.1480487476119441,proV_nagC-2
1193,proV_ptsP,HMDA,0.1254822483914311,proV_ptsP-3
1194,MG1655,HMDA,0.1043189106145871,MG1655-3
1195,proV_ptsP_nagC,HMDA,0.2964821870082378,proV_ptsP_nagC-2
1196,proV_wbbK,HMDA,0.1115519618591215,proV_wbbK-2
1197,proV_ptsP_wbbK,HMDA,0.1735704432540173,proV_ptsP_wbbK-3
1198,MG1655,HMDA,0.088128255910754,MG1655-1
1200,ptsP,HMDA,0.2047610982555463,ptsP-1
1201,proV_ptsP_nagC,HMDA,0.2274040422056493,proV_ptsP_nagC-3
1202,proV,HMDA,0.200432724753841,proV-3
1204,acrB,"1,2-propanediol",0.1927882573725056,acrB-2
1206,relA,"1,2-propanediol",0.1170395852006231,relA-3
1207,treA,"1,2-propanediol",0.2496793800625954,treA-1
1209,purT,"1,2-propanediol",0.1289282612702337,purT-1
1211,metJ,"1,2-propanediol",0.2790246466890242,metJ-3
1212,yfgF,"1,2-propanediol",0.2497091432939844,yfgF-3
1213,treA,"1,2-propanediol",0.0947782755818382,treA-3
1214,acrB,"1,2-propanediol",0.3307076091558898,acrB-1
1215,yfgF,"1,2-propanediol",0.0,yfgF-1
1216,metJ,"1,2-propanediol",0.3998761546480112,metJ-2
1217,clsA,"1,2-propanediol",0.0960698911964902,clsA-3
1218,treA,"1,2-propanediol",0.2770070454598127,treA-2
1219,purT,"1,2-propanediol",0.1279959141120884,purT-3
1220,relA,"1,2-propanediol",0.1816762639502778,relA-2
1221,fabR,"1,2-propanediol",0.1456126987578541,fabR-2
1224,clsA,"1,2-propanediol",0.1899005177041623,clsA-1
1225,MG1655,"1,2-propanediol",0.1500352839044162,MG1655-2
1230,metJ,"1,2-propanediol",0.3896466088223161,metJ-1
1236,acrB,"1,2-propanediol",0.1251827576571257,acrB-3
1238,purT,"1,2-propanediol",0.0,purT-2
1239,yfgF,"1,2-propanediol",0.2258172668998153,yfgF-2
1240,relA,"1,2-propanediol",0.2283202026958897,relA-1
1241,fabR,"1,2-propanediol",0.1207382020764611,fabR-3
1243,fabR,"1,2-propanediol",0.204485181450032,fabR-1
1244,MG1655,"1,2-propanediol",0.2401986321144728,MG1655-3
1245,MG1655,"1,2-propanediol",0.1413575470816096,MG1655-1
1247,clsA,"1,2-propanediol",0.0949744127312234,clsA-2
1249,ilvH,isobutyrate,0.1767420173144028,ilvH-3
1250,MG1655,isobutyrate,0.1807335440380169,MG1655-2
1252,pykF,isobutyrate,0.2701957150072143,pykF-1
1253,pykF_ilvN,isobutyrate,0.2676603351491636,pykF_ilvN-3
1254,ilvN,isobutyrate,0.2358641873105361,ilvN-2
1255,pykF_ilvN,isobutyrate,0.2753078932928168,pykF_ilvN-1
1256,pykF_ilvH,isobutyrate,0.2601986435723386,pykF_ilvH-1
1257,pykF_ilvN,isobutyrate,0.2718344565075961,pykF_ilvN-2
1258,ilvN,isobutyrate,0.2423159407422536,ilvN-3
1260,pykF,isobutyrate,0.2548881008779194,pykF-2
1261,pykF,isobutyrate,0.2478076548333201,pykF-3
1262,pykF_ilvH,isobutyrate,0.2437316685334276,pykF_ilvH-2
1263,pykF_ilvH,isobutyrate,0.2711491703006846,pykF_ilvH-3
1264,MG1655,isobutyrate,0.2018589931815147,MG1655-1
1265,ilvH,isobutyrate,0.2087607502508376,ilvH-2
1266,ilvH,isobutyrate,0.1964455963802526,ilvH-1
1267,ilvN,isobutyrate,0.2235937123152326,ilvN-1
1268,MG1655,isobutyrate,0.1677231252188374,MG1655-3
